Cohort,Name,"UniProt ID"
PC,"HLA class I histocompatibility antigen, Cw-7 alpha chain",P10321
PC,"HLA class II histocompatibility antigen, DRB1-9 beta chain",Q9TQE0
PC,"IgGFc-binding protein",Q9Y6R7
PC,"Importin subunit beta-1",Q14974
PC,"Integrin alpha-M",P11215
PC,"Keratin, type I cuticular Ha6",O76013
PC,"Keratin, type I cytoskeletal 16",P08779
PC,"Keratin, type II cuticular Hb5",P78386
PC,"Keratin, type II cytoskeletal 7",P08729
PC,Lactotransferrin,P02788
PC,"L-lactate dehydrogenase A chain",P00338
PC,Mucin-2,Q02817
PC,Mucin-5B,Q9HC84
PC,Myeloblastin,P24158
PC,Myosin-14,Q7Z406
PC,"Nicotinate phosphoribosyltransferase",Q6XQN6
PC,"Outer dense fiber protein 3",Q96PU9
PC,"PDZ and LIM domain protein 1",O00151
PC,"Phenylalanine-tRNA ligase alpha chain",Q9Y285
PC,"Protein disulfide-isomerase A3",P30101
PC,"Protein DJ-1",Q99497
PC,"Protein S100-A8",P05109
PC,"Proteolipid protein 2",Q04941
PC,"Putative trypsin-6",Q8NHM4
PC,"Retinal dehydrogenase 1",P00352
PC,"Solute carrier family 12 member 2",P55011
PC,"Spectrin beta chain, brain 1",Q01082
PC,"Staphylococcal nuclease domain-containing protein 1",Q7KZF4
PC,"Superoxide dismutase",P00441
PC,"Translocon-associated protein subunit delta",P51571
PC,Transthyretin,P02766
PC,"Tripeptidyl-peptidase 1",O14773
PC,Trypsin-3,P35030
PC,"Tubulin beta-4B chain",P68371
PC,"Tubulin-specific chaperone A",O75347
