"Database ID","Gene symbol",Entry,"Protein description","Ratio CP/NL",S.D.
IPI00293276,MIF,P14174,"Macrophage migration-inhibitory factor",2.22,0.89
IPI00019580,PLG,P00747,"Plasminogen precursor",2.17,0.52
IPI00289862,SCRN1,Q12765,Secernin-1,2.17,0.33
IPI00003865,HSPA8,P11142,"Heat shock cognate 71-kDa protein (splice isoform 1)",2.13,1
IPI00022078a,NDRG1,Q92597,"NDRG1 protein, hypothetical protein FLJ38330",2.13,0.36
IPI00017672,NP,P00491,"Purine-nucleoside phosphorylase",2.13,0.27
IPI00218733,SOD1,P00441,"Superoxide dismutase",2.13,0.63
IPI00005159a,ACTR2,P61160,"Actin-like protein 2",2.08,0.22
IPI00002243a,GGTLA1,P36269,"␥-Glutamyltransferase 5",2.08,0.3
IPI00383046,CMBL,Q96DG6,"Hypothetical protein FLJ23617",2.08,0.56
IPI00031545,ITPR2,Q14571,"Inositol 1,4,5-trisphosphate receptor type 2 (splice isoform long)",2.08,0.3
IPI00028416a,PBX2,P40425,"Pre-B-cell leukemia transcription factor 2",2.08,0.52
IPI00017376a,SEC23B,Q15437,"Protein transport protein Sec23B, Sec23 (Saccharomyces cerevisiae) homolog B",2.08,0.22
IPI00164623,C3,P01024,"Complement C3 precursor",2.04,0.92
IPI00021408a,NUDT4,Q9NZJ9,"Diphosphoinositol-polyphosphate phosphohydrolase",2.04,0.67
IPI00025427,RNASE3,P12724,"Eosinophil cationic protein precursor",2.04,0.29
IPI00013219,ILK,Q13418,"Integrin-linked protein kinase 1",2.04,0.29
IPI00010471,LCP1,P13796,L-plastin,2.04,0.87
IPI00018195,MAP2K3,P46734,"Mitogen-activated protein kinase 3",2.04,0.33
IPI00246058,PDCD6IP,Q8WUM4,"Programmed cell death 6-interacting protein",2.04,0.92
IPI00009634,SQRDL,Q9Y6N5,"Sulfide:quinone oxidoreductase, mitochondrial precursor",2.04,0.25
IPI00293305a,ITGB1,P05556,"Integrin ␤1 (splice isoform)",2,0.36
IPI00098902,OGDH,Q02218,Oxoglutarate,2,0.32
IPI00003817,ARHGDIB,P52566,"Rho GDP-dissociation inhibitor 2",2,0.24
IPI00640411a,HGD,Q93099,"H2GD protein, homogentisate 1,2-dioxygenase",0.22,0.03
IPI00216085a,COX6B1,P14854,"Cytochrome c oxidase subunit VIb",0.23,0.04
IPI00397808a,LOC388720,P62979,"Similar to bA92K2.2 (similar to ubiquitin)",0.24,0.22
IPI00382733a,LRRFIP1,Q32MZ4,"Transcription repressor",0.26,0.03
IPI00478208a,LOC645296,P18621,"60 S ribosomal protein L17, 21-kDa protein",0.27,0.02
IPI00178440,EEF1B2,P24534,"Elongation factor 1-␤",0.29,0.03
IPI00550689,C22orf28,Q9Y3I0,"HSPC117 protein",0.37,0.04
IPI00012772,RPL8,P62917,"60 S ribosomal protein L8",0.39,0.02
IPI00022232,CLPS,P04118,"Colipase precursor",0.4,0.06
IPI00477874a,TATDN1,Q6P1N9,"Hepatocarcinoma high expression protein, TatD DNase domain- containing 1",0.41,0.18
IPI00218568,PCBD1,P61457,"Pterin-4-␣-carbinolamine dehydratase",0.41,0.08
IPI00007676,HSD17B12,Q53GQ0,"Steroid dehydrogenase homolog",0.41,0.1
IPI00219156,RPL30,P62888,"60 S ribosomal protein L30",0.44,0.1
IPI00023048a,EEF1D,P29692,"Elongation factor 1-␦",0.44,0.08
IPI00412579a,RPL10A,P62906,"60 S ribosomal protein L10a",0.45,0.05
IPI00027626a,CCT6A,P40227,"T-complex protein 1",0.48,0.07
IPI00140420,SND1,Q7KZF4,"Staphylococcal nuclease domain- containing protein 1",0.49,0.23
IPI00010790a,BGN,P21810,"Biglycan precursor",0.5,0.05
IPI00013452,EPRS,P07814,"Hypothetical protein DKFZp3313B047",0.5,0.15
