Protein,"Acc no.",Description,"Higher in"
sw:AMYP_HUMAN,P04746,"alpha-amylase, pancreatic precursor",normal
sw:ATPA_HUMAN,P25705,"atp synthase alpha chain, mitochondrial precursor",normal
sw:BAL_HUMAN,P19835,"bile-salt-activated lipase precursor",normal
sw:DPY2_HUMAN,Q16555,"dihydropyrimidinase related protein-2",normal
sw:GABT_HUMAN,P80404,"4-aminobutyrate aminotransferase",normal
sw:GATM_HUMAN,P50440,"glycine amidinotransferase, mito- chondrial precursor",normal
sw:GR78_HUMAN,P11021,"78 kDa glucose-regulated protein precursor",normal
sw:IF32_HUMAN,Q13347,"eukaryotic translation initiation factor 3 subunit 2",normal
sw:LIP1_HUMAN,P54315,"pancreatic lipase related protein 1 precursor",normal
sw:LIP2_HUMAN,P54317,"pancreatic lipase related protein 2 precursor",normal
sw:LIPP_HUMAN,P16233,"triacylglycerol lipase, pancreatic precursor",normal
sw:PGMU_HUMAN,P36871,phosphoglucomutase,normal
sw:PPCM_HUMAN,Q16822,"phosphoenolpyruvate carboxykinase, mitochondrial precursor",normal
sw:PSA1_HUMAN,P25786,"proteasome subunit alpha type 1",normal
sw:HS27_HUMAN,P04792,"heat shock 27 kDa protein",normal
sw:PCD6-HUMAN,O75340,"programmed cell death 6 interacting protein",normal
sw:Q9bva2,Q9BVA2,"four and a half lim domains 3",normal
sw:Q9P100,Q9P100,"LIM-only protein FHL3",normal
sw:CYB5_HUMAN,P00167,"cytochrome b5.",normal
sw:PAP1_HUMAN,Q06141,"pancreatitis-associated protein 1 precursor",normal
sw:CA16_HUMAN,P12109,"collagen alpha 1(vi) chain precursor",normal
sw:LUM_HUMAN,P51884,"lumican precursor",normal
