Accession,Entry,Name,Species,PC_NT.1.1,PC_NT.1.2,PC.DM_NT.DM.1.1,PC.DM_NT.DM.1.2,PC_NT.2.1,PC_NT.2.2,PC.DM_NT.DM.2.1,PC.DM_NT.DM.2.2
AOFA_HUMAN,P21397,"Amine oxidase [flavin-containing] A",HUMAN,0.661,0.37,7.727,0.31,0.37,1.047,2.312,0.437
AOFB_HUMAN,P27338,"Amine oxidase [flavin-containing] B",HUMAN,1.117,1.138,0.413,0.479,0.437,2.655,1.419,0.302
AP2B1_HUMAN,P63010,"AP-2 complex subunit beta",HUMAN,1.738,1.514,5.152,0.692,0.871,2.051,1.57,1.432
AP2M1_HUMAN,Q96CW1,"AP-2 complex subunit mu",HUMAN,0.759,4.613,3.631,6.194,2.249,1.472,1.459,1.837
APOD_HUMAN,P05090,"Apolipoprotein D",HUMAN,1.585,1,1.5,1.837,1.854,1.854,0.631,1.514
APOE_HUMAN,P02649,"Apolipoprotein E",HUMAN,3.373,2.443,2.07,2.089,1.225,6.368,0.673,2.938
APOH_HUMAN,P02749,"Beta-2-glycoprotein 1",HUMAN,2.333,2.606,55.976,2.291,1.977,3.105,0.655,5.105
APOL2_HUMAN,Q9BQE5,"Apolipoprotein L2",HUMAN,2.089,0.766,3.597,1.076,1.514,1.528,0.871,1.738
ARC1B_HUMAN,O15143,"Actin-related protein 2/3 complex subunit 1B",HUMAN,1.393,0.78,1.959,1.107,3.664,5.395,2.63,2.109
ARK73_HUMAN,O95154,"Aflatoxin B1 aldehyde reductase member 3",HUMAN,0.263,0.247,0.074,0.55,0.294,1.076,0.879,0.191
ARPC2_HUMAN,O15144,"Actin-related protein 2/3 complex subunit 2",HUMAN,4.018,1.368,8.241,0.47,4.571,6.138,3.133,1.107
ARPC3_HUMAN,O15145,"Actin-related protein 2/3 complex subunit 3",HUMAN,3.404,0.525,0.955,1.923,2.109,7.586,4.742,4.656
ARPC5_HUMAN,O15511,"Actin-related protein 2/3 complex subunit 5",HUMAN,4.246,1.644,1.202,1.047,4.487,2.805,1.159,2.128
ASPN_HUMAN,Q9BXN1,Asporin,HUMAN,9.12,4.018,3.467,0.839,8.71,8.551,3.499,6.427
ATG3_HUMAN,Q9NT62,"Ubiquitin-like-conjugating enzyme ATG3",HUMAN,2.07,1.38,3.281,0.855,0.597,9.12,2.032,3.133
ATOX1_HUMAN,O00244,"Copper transport protein ATOX1",HUMAN,2.291,1.191,0.565,1.355,12.134,22.08,0.824,2.655
BAP31_HUMAN,P51572,"B-cell receptor-associated protein 31",HUMAN,0.56,0.347,1.202,1.754,0.904,0.117,0.724,0.207
BASP1_HUMAN,P80723,"Brain acid soluble protein 1",HUMAN,7.656,1.57,30.2,1.38,2.78,2.089,1.202,13.428
BCAT1_HUMAN,P54687,"Branched-chain-amino-acid aminotransferase, cytosolic",HUMAN,0.685,0.47,3.281,0.619,0.38,0.492,1.191,0.198
BCAT2_HUMAN,O15382,"Branched-chain-amino-acid aminotransferase, mitochondrial",HUMAN,0.247,0.244,0.863,0.391,0.535,0.263,0.738,0.847
BGH3_HUMAN,Q15582,"Transforming growth factor-beta-induced protein ig-h3",HUMAN,11.695,2.188,2.938,1.542,2.965,4.13,9.638,0.766
BLVRB_HUMAN,P30043,"Flavin reductase",HUMAN,0.698,0.655,0.614,0.667,0.592,0.344,1.888,1.159
BST2_HUMAN,Q10589,"Bone marrow stromal antigen 2",HUMAN,1.6,1.096,152.757,1.722,2.704,2.07,0.946,0.631
C1QB_HUMAN,P02746,"Complement C1q subcomponent subunit B",HUMAN,2.63,2.938,0.879,1.459,6.73,2.355,0.47,86.298
C1QT3_HUMAN,Q9BXJ4,"Complement C1q tumor necrosis factor-related protein 3",HUMAN,1.738,2.228,1.047,1.786,3.837,6.982,0.515,1.019
CACP_HUMAN,P43155,"Carnitine O-acetyltransferase",HUMAN,0.394,0.461,13.677,0.832,0.586,0.863,0.614,0.535
CAH2_HUMAN,P00918,"Carbonic anhydrase 2",HUMAN,0.955,0.535,5.808,0.215,0.044,0.53,1.675,0.525
CALD1_HUMAN,Q05682,Caldesmon,HUMAN,4.246,4.055,16.144,1.393,3.767,4.325,0.679,6.982
CALM_HUMAN,P62158,Calmodulin,HUMAN,1.923,1.528,17.701,0.705,1.585,1.38,1.675,0.511
CALR_HUMAN,P27797,Calreticulin,HUMAN,0.413,0.54,1.77,0.794,0.929,0.461,0.855,0.189
CALU_HUMAN,O43852,Calumenin,HUMAN,1.786,2.109,13.804,1.629,2.704,2.805,1.259,1.107
CAP1_HUMAN,Q01518,"Adenylyl cyclase-associated protein 1",HUMAN,3.837,2.754,1.213,1.888,5.97,5.346,3.532,7.047
CAPG_HUMAN,P40121,"Macrophage-capping protein",HUMAN,11.695,1.754,6.918,3.802,4.786,6.368,3.532,2.014
CAPZB_HUMAN,P47756,"F-actin-capping protein subunit beta",HUMAN,1.614,1.923,2.014,1.067,0.718,12.942,8.63,0.581
CATB_HUMAN,P07858,"Cathepsin B",HUMAN,1.38,2.535,9.908,1.247,4.875,4.786,1.318,3.664
CATE_HUMAN,P14091,"Cathepsin E",HUMAN,24.21,1.038,0.759,43.652,15.276,9.12,1.871,3.281
CBPA1_HUMAN,P15085,"Carboxypeptidase A1",HUMAN,0.069,0.029,0.425,0.305,0.04,0.069,0.132,0.074
CBPA2_HUMAN,P48052,"Carboxypeptidase A2",HUMAN,0.107,0.072,0.302,0.211,0.032,0.207,0.147,0.042
CBPB1_HUMAN,P15086,"Carboxypeptidase B",HUMAN,0.145,0.033,0.53,0.261,0.047,0.122,0.143,0.068
CDC42_HUMAN,P60953,"Cell division control protein 42 homolog",HUMAN,2.109,0.92,7.379,2.63,5.598,0.787,3.698,42.855
CEL2A_HUMAN,P08217,"Chymotrypsin-like elastase family member 2A",HUMAN,0.021,0.172,0.029,0.175,0.09,0.114,0.011,0.219
CEL2B_HUMAN,P08218,"Chymotrypsin-like elastase family member 2B",HUMAN,0.072,0.294,0.122,0.794,0.033,0.149,0.009,0.305
CEL3A_HUMAN,P09093,"Chymotrypsin-like elastase family member 3A",HUMAN,0.044,0.072,1.282,0.855,0.096,0.673,0.203,0.313
CEL3B_HUMAN,P08861,"Chymotrypsin-like elastase family member 3B",HUMAN,0.194,0.506,0.258,0.614,0.031,1.38,2.754,0.236
CEL_HUMAN,P19835,"Bile salt-activated lipase",HUMAN,0.166,0.03,0.625,0.126,0.038,0.108,0.065,0.033
CFAB_HUMAN,P00751,"Complement factor B",HUMAN,3.105,2.109,10.568,0.56,2.148,1.343,1.738,4.613
CFAD_HUMAN,P00746,"Complement factor D",HUMAN,1.459,1.995,0.946,1.66,6.026,10.765,0.433,1.6
CHID1_HUMAN,Q9BWS9,"Chitinase domain-containing protein 1",HUMAN,0.322,0.474,46.559,0.839,0.229,0.904,0.794,0.603
CK054_HUMAN,Q9H0W9,"Ester hydrolase C11orf54",HUMAN,0.421,0.158,13.062,1.556,0.946,0.406,1.148,0.597
CKAP4_HUMAN,Q07065,"Cytoskeleton-associated protein 4",HUMAN,1.096,2.188,4.487,3.281,8.395,2.168,1.57,0.692
CLCA_HUMAN,P09496,"Clathrin light chain A",HUMAN,1.977,0.92,4.169,2.535,1.343,4.13,1,3.908
CLCB_HUMAN,P09497,"Clathrin light chain B",HUMAN,1.82,0.322,1.57,1.871,1.786,7.112,2.27,5.445
CMGA_HUMAN,P10645,Chromogranin-A,HUMAN,1.086,0.373,0.832,0.603,0.059,0.52,1.888,0.794
CNN3_HUMAN,Q15417,Calponin-3,HUMAN,3.802,2.089,2.858,3.192,1.614,1.66,0.698,0.649
CO1A1_HUMAN,P02452,"Collagen alpha-1(I) chain",HUMAN,3.597,1.18,11.169,1.995,1.086,4.018,2.938,9.638
CO1A2_HUMAN,P08123,"Collagen alpha-2(I) chain",HUMAN,1.754,3.048,5.546,2.512,0.946,1.5,7.943,7.112
CO2_HUMAN,P06681,"Complement C2",HUMAN,2.291,2.965,6.982,0.731,0.946,1.941,1.138,0.773
CO3_HUMAN,P01024,"Complement C3",HUMAN,4.055,3.733,6.486,1.019,2.512,1.871,0.773,5.248
CO4B_HUMAN,P0C0L5,"Complement C4-B",HUMAN,2.208,9.376,4.285,0.506,4.246,3.162,0.363,3.873
CO5A1_HUMAN,P20908,"Collagen alpha-1(V) chain",HUMAN,1.127,1.542,0.912,1.343,8.71,6.918,1.393,2.512
CO6A1_HUMAN,P12109,"Collagen alpha-1(VI) chain",HUMAN,2.884,1.076,28.576,0.565,2.992,2.729,1.225,5.649
COCA1_HUMAN,Q99715,"Collagen alpha-1(XII) chain",HUMAN,35.645,10.765,2.377,35.975,39.084,12.474,1.854,4.406
COF1_HUMAN,P23528,Cofilin-1,HUMAN,3.404,0.817,3.192,0.879,6.486,1.959,5.916,4.365
COL_HUMAN,P04118,Colipase,HUMAN,0.258,0.023,0.112,0.101,0.065,0.205,0.217,0.074
COMP_HUMAN,P49747,"Cartilage oligomeric matrix protein",HUMAN,28.314,5.297,2.911,12.134,24.434,1.941,0.787,5.754
COR1A_HUMAN,P31146,Coronin-1A,HUMAN,4.92,0.268,12.359,0.78,5.916,2.333,1.556,5.105
COTL1_HUMAN,Q14019,"Coactosin-like protein",HUMAN,3.192,2.051,2.333,0.752,2.489,10.864,2.109,2.188
CS010_HUMAN,Q969H8,"UPF0556 protein C19orf10",HUMAN,0.337,0.506,1.191,1.191,0.161,1.247,1.82,0.082
CSPG2_HUMAN,P13611,"Versican core protein",HUMAN,10.864,3.767,1.086,2.729,4.742,28.314,1.722,3.733
CTHR1_HUMAN,Q96CG8,"Collagen triple helix repeat-containing protein 1",HUMAN,3.532,5.2,25.119,14.723,5.2,8.472,0.991,2.333
CTRB1_HUMAN,P17538,"Chymotrypsinogen B",HUMAN,0.238,0.049,1.419,0.196,0.052,0.086,0.56,0.07
CTRC_HUMAN,Q99895,Chymotrypsin-C,HUMAN,0.095,0.062,0.488,0.398,0.124,0.217,0.082,0.086
CTRL_HUMAN,P40313,"Chymotrypsin-like protease CTRL-1",HUMAN,0.138,0.065,0.347,4.966,0.052,0.107,0.013,0.244
CX6B1_HUMAN,P14854,"Cytochrome c oxidase subunit 6B1",HUMAN,1.127,0.631,2.109,0.705,4.246,0.794,1.514,1.871
CY24B_HUMAN,P04839,"Cytochrome b-245 heavy chain",HUMAN,1.236,1.459,2.559,2.754,3.251,0.964,0.847,1.706
CYFP1_HUMAN,Q7L576,"Cytoplasmic FMR1-interacting protein 1",HUMAN,2.805,1.803,9.727,2.78,1.514,0.773,0.731,0.545
CYTB_HUMAN,P04080,Cystatin-B,HUMAN,1.82,2.249,34.041,1.445,1.086,2.07,3.192,1.959
DAZP1_HUMAN,Q96EP5,"DAZ-associated protein 1",HUMAN,0.718,0.394,1.786,0.673,0.437,0.353,9.29,0.794
DCXR_HUMAN,Q7Z4W1,"L-xylulose reductase",HUMAN,0.421,0.575,0.637,1.236,0.344,0.847,2.07,0.535
DDRGK_HUMAN,Q96HY6,"DDRGK domain-containing protein 1",HUMAN,0.387,0.425,3.342,2.291,0.52,1.432,0.679,1.047
DESM_HUMAN,P17661,Desmin,HUMAN,0.074,0.325,5.297,0.034,1.247,0.363,0.251,3.162
DHPR_HUMAN,P09417,"Dihydropteridine reductase",HUMAN,0.759,0.643,4.093,0.731,0.47,0.545,0.515,0.824
DHSA_HUMAN,P31040,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",HUMAN,0.592,0.406,1.556,0.904,1.271,0.581,4.055,2.333
DLDH_HUMAN,P09622,"Dihydrolipoyl dehydrogenase, mitochondrial",HUMAN,0.288,0.685,1.528,0.879,0.492,0.661,1.355,0.319
DNJC3_HUMAN,Q13217,"DnaJ homolog subfamily C member 3",HUMAN,0.673,0.54,1.445,1.368,0.229,0.545,3.908,0.322
DOPD_HUMAN,P30046,"D-dopachrome decarboxylase",HUMAN,0.077,0.817,0.445,0.209,0.256,0.809,0.247,0.192
DPEP1_HUMAN,P16444,"Dipeptidase 1",HUMAN,1.542,0.698,6.73,1.127,3.105,2.655,0.288,0.413
DPM3_HUMAN,Q9P2X0,"Dolichol-phosphate mannosyltransferase subunit 3",HUMAN,0.201,0.449,0.308,1.355,0.57,0.356,0.581,0.53
DPYL3_HUMAN,Q14195,"Dihydropyrimidinase-related protein 3",HUMAN,7.178,2.489,43.251,1.57,6.026,3.837,0.724,4.92
DREB_HUMAN,Q16643,Drebrin,HUMAN,1.995,1.854,0.938,1.66,3.467,2.831,13.183,3.105
DSG2_HUMAN,Q14126,Desmoglein-2,HUMAN,1.6,1.247,2.128,1.837,1.406,1.959,1.459,1.69
DX39B_HUMAN,Q13838,"Spliceosome RNA helicase DDX39B",HUMAN,0.685,1.614,0.839,0.555,1.614,2.679,1.191,0.185
DYHC1_HUMAN,Q14204,"Cytoplasmic dynein 1 heavy chain 1",HUMAN,1.247,1.5,2.729,2.109,1.995,2.109,1.905,1.282
DYN2_HUMAN,P50570,Dynamin-2,HUMAN,1.675,0.955,2.754,0.608,2.089,2.249,1.159,2.089
ECHD1_HUMAN,Q9NTX5,"Enoyl-CoA hydratase domain-containing protein 1",HUMAN,0.603,0.363,0.631,0.319,0.625,0.855,1.355,0.535
ECHD3_HUMAN,Q96DC8,"Enoyl-CoA hydratase domain-containing protein 3, mitochondrial",HUMAN,0.581,0.353,0.592,0.698,0.437,1.202,0.445,0.879
EF1A1_HUMAN,P68104,"Elongation factor 1-alpha 1",HUMAN,0.242,0.506,0.603,0.449,0.449,0.603,1.259,0.194
EF1G_HUMAN,P26641,"Elongation factor 1-gamma",HUMAN,0.437,0.581,5.395,1.067,0.461,0.515,1.738,0.09
EF2_HUMAN,P13639,"Elongation factor 2",HUMAN,0.57,0.479,5.105,0.608,0.895,0.497,0.731,0.614
EIF3A_HUMAN,Q14152,"Eukaryotic translation initiation factor 3 subunit A",HUMAN,0.506,0.55,1.754,1.556,1.318,0.268,1.355,0.146
EIF3M_HUMAN,Q7L2H7,"Eukaryotic translation initiation factor 3 subunit M",HUMAN,0.515,0.655,8.318,0.608,0.535,0.631,1.585,0.288
EMIL1_HUMAN,Q9Y6C2,EMILIN-1,HUMAN,9.908,1.6,3.02,1.18,4.093,8.166,4.093,2.466
ENOA_HUMAN,P06733,Alpha-enolase,HUMAN,3.436,1.5,7.943,0.879,7.379,12.589,4.365,1.6
ENOG_HUMAN,P09104,Gamma-enolase,HUMAN,1.614,1.393,2.884,1.318,1.138,2.831,7.798,2.729
ENPL_HUMAN,P14625,Endoplasmin,HUMAN,0.929,0.344,1.854,0.373,0.325,0.406,1.393,0.238
EPIPL_HUMAN,P58107,Epiplakin,HUMAN,3.221,1.995,1.355,4.529,3.251,2.655,2.089,2.377
EPN1_HUMAN,Q9Y6I3,Epsin-1,HUMAN,1.77,2.291,0.929,0.802,2.489,2.63,0.53,1.432
ERMP1_HUMAN,Q7Z2K6,"Endoplasmic reticulum metallopeptidase 1",HUMAN,0.592,1.18,0.268,2.466,0.474,0.131,0.479,0.441
ERO1A_HUMAN,Q96HE7,"ERO1-like protein alpha",HUMAN,1.556,1.644,1.941,1.995,4.169,1.995,5.248,0.555
ERP27_HUMAN,Q96DN0,"Endoplasmic reticulum resident protein 27",HUMAN,0.134,0.064,0.205,0.184,0.065,0.36,0.296,0.137
ETFD_HUMAN,Q16134,"Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial",HUMAN,0.441,0.492,2.443,0.685,0.679,0.217,0.219,0.198
ETHE1_HUMAN,O95571,"Protein ETHE1, mitochondrial",HUMAN,5.152,1.096,5.445,2.399,13.932,4.246,1.459,2.168
EZRI_HUMAN,P15311,Ezrin,HUMAN,1.66,0.773,4.169,0.619,7.244,2.78,3.802,2.089
F13A_HUMAN,P00488,"Coagulation factor XIII A chain",HUMAN,5.546,2.312,19.588,1.236,1.66,0.673,0.328,1.148
F16P1_HUMAN,P09467,"Fructose-1,6-bisphosphatase 1",HUMAN,1.191,1.738,19.055,0.731,1.871,1.585,1.5,0.964
FA49B_HUMAN,Q9NUQ9,"Protein FAM49B",HUMAN,4.699,1.445,6.427,0.603,4.571,1.6,1.738,1.213
FABP4_HUMAN,P15090,"Fatty acid-binding protein, adipocyte",HUMAN,0.065,0.088,13.677,0.057,0.191,0.794,0.021,0.231
FBLN1_HUMAN,P23142,Fibulin-1,HUMAN,6.138,1.722,1.202,2.014,5.808,8.395,1.259,2.704
FBLN2_HUMAN,P98095,Fibulin-2,HUMAN,21.878,2.679,2.938,2.051,3.499,1.77,1.294,5.058
FBN1_HUMAN,P35555,Fibrillin-1,HUMAN,1.629,1.259,34.356,2.399,6.368,3.02,1.33,2.729
FCG3A_HUMAN,P08637,"Low affinity immunoglobulin gamma Fc region receptor III-A",HUMAN,2.228,1.33,1.247,1.406,1.837,1.614,0.887,1.941
FIBA_HUMAN,P02671,"Fibrinogen alpha chain",HUMAN,0.2,0.938,5.395,0.887,0.387,0.251,0.283,3.404
FIBB_HUMAN,P02675,"Fibrinogen beta chain",HUMAN,0.087,1.225,9.55,0.219,0.215,0.231,0.189,9.638
FIBG_HUMAN,P02679,"Fibrinogen gamma chain",HUMAN,0.101,0.54,1.419,0.441,0.328,0.115,0.511,3.133
FINC_HUMAN,P02751,Fibronectin,HUMAN,5.2,16.749,2.805,25.823,27.04,2.831,0.912,8.017
FIS1_HUMAN,Q9Y3D6,"Mitochondrial fission 1 protein",HUMAN,0.291,1.047,11.169,0.429,0.041,0.213,7.87,0.281
FKB10_HUMAN,Q96AY3,"Peptidyl-prolyl cis-trans isomerase FKBP10",HUMAN,4.92,3.436,1.5,2.312,3.133,3.698,1,0.655
FKB1A_HUMAN,P62942,"Peptidyl-prolyl cis-trans isomerase FKBP1A",HUMAN,1.556,0.809,15.417,1.057,10.666,4.446,0.946,2.535
FKBP2_HUMAN,P26885,"Peptidyl-prolyl cis-trans isomerase FKBP2",HUMAN,0.384,0.157,0.384,0.964,0.731,0.511,0.57,0.501
FKBP9_HUMAN,O95302,"Peptidyl-prolyl cis-trans isomerase FKBP9",HUMAN,1.096,2.399,0.912,2.704,5.297,20.137,0.887,0.592
FLNA_HUMAN,P21333,Filamin-A,HUMAN,9.036,7.178,16.144,1.585,25.119,2.754,1.406,8.318
FLNB_HUMAN,O75369,Filamin-B,HUMAN,2.355,1.432,7.244,1.837,9.908,1.923,1.614,1.706
FMOD_HUMAN,Q06828,Fibromodulin,HUMAN,12.246,1.629,1.905,2.884,11.912,3.837,1.019,24.66
FNDC1_HUMAN,Q4ZHG4,"Fibronectin type III domain-containing protein 1",HUMAN,1.837,1.259,0.625,1.486,3.404,1.941,1.306,1.355
FRIL_HUMAN,P02792,"Ferritin light chain",HUMAN,2.399,1.941,2.63,1.18,1.368,7.112,6.792,1.905
FSCN1_HUMAN,Q16658,Fascin,HUMAN,1.905,2.188,2.938,1.786,1.432,1.343,1.66,2.291
FUMH_HUMAN,P07954,"Fumarate hydratase, mitochondrial",HUMAN,0.614,0.57,10.965,0.637,0.661,1,1.076,0.738
FUT11_HUMAN,Q495W5,"Alpha-(1,3)-fucosyltransferase 11",HUMAN,1.5,2.377,5.598,1.393,1.871,1.57,1.445,1.117
G3P_HUMAN,P04406,"Glyceraldehyde-3-phosphate dehydrogenase",HUMAN,5.105,3.162,11.803,1.472,2.729,6.982,9.638,2.032
G6PI_HUMAN,P06744,"Glucose-6-phosphate isomerase",HUMAN,2.443,2.729,2.606,1.271,1.585,0.92,3.945,0.52
GABT_HUMAN,P80404,"4-aminobutyrate aminotransferase, mitochondrial",HUMAN,0.201,0.334,0.497,0.802,0.09,1.127,0.31,0.064
GALM_HUMAN,Q96C23,"Aldose 1-epimerase",HUMAN,0.437,0.973,6.486,0.402,0.047,0.263,1.117,0.034
GAMT_HUMAN,Q14353,"Guanidinoacetate N-methyltransferase",HUMAN,0.095,0.115,0.313,0.402,0.294,0.625,0.991,0.119
GATM_HUMAN,P50440,"Glycine amidinotransferase, mitochondrial",HUMAN,0.083,0.052,0.377,0.398,0.069,0.231,0.679,0.164
GBLP_HUMAN,P63244,"Guanine nucleotide-binding protein subunit beta-2-like 1",HUMAN,0.614,0.55,0.631,0.592,0.251,0.384,1.837,0.265
GDIR2_HUMAN,P52566,"Rho GDP-dissociation inhibitor 2",HUMAN,6.546,1.306,3.133,0.692,0.356,1.225,1.57,1.629
GELS_HUMAN,P06396,Gelsolin,HUMAN,9.29,1.941,17.378,1.18,6.855,12.942,2.399,8.63
GFPT1_HUMAN,Q06210,"Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] 1",HUMAN,0.244,0.247,1.445,0.525,0.229,0.581,1.432,0.171
GLOD4_HUMAN,Q9HC38,"Glyoxalase domain-containing protein 4",HUMAN,0.433,0.597,2.535,1.057,0.52,1,1.368,0.581
GLRX1_HUMAN,P35754,Glutaredoxin-1,HUMAN,1.169,2.051,1.432,1.148,7.112,4.169,1.355,2.655
GMPPA_HUMAN,Q96IJ6,"Mannose-1-phosphate guanyltransferase alpha",HUMAN,0.973,0.305,1.941,0.555,0.501,0.201,0.581,0.575
GNA1_HUMAN,Q96EK6,"Glucosamine 6-phosphate N-acetyltransferase",HUMAN,0.855,0.824,0.37,0.773,0.603,0.052,0.619,0.545
GNAS1_HUMAN,Q5JWF2,"Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas",HUMAN,0.597,0.982,1.871,0.575,0.506,0.614,1.019,0.515
GNMT_HUMAN,Q14749,"Glycine N-methyltransferase",HUMAN,0.067,0.35,0.331,1.086,0.185,0.525,0.174,0.387
GP2_HUMAN,P55259,"Pancreatic secretory granule membrane major glycoprotein GP2",HUMAN,0.078,0.06,0.581,0.506,0.2,0.163,0.023,0.325
GPDM_HUMAN,P43304,"Glycerol-3-phosphate dehydrogenase, mitochondrial",HUMAN,3.02,0.794,3.221,0.964,1.614,7.112,12.589,0.661
GPNMB_HUMAN,Q14956,"Transmembrane glycoprotein NMB",HUMAN,2.466,2.512,4.571,1.514,1.236,2.148,1.69,4.529
GPX1_HUMAN,P07203,"Glutathione peroxidase 1",HUMAN,1.905,1.067,2.466,1.047,2.07,10.471,3.733,0.955
GRP78_HUMAN,P11021,"78 kDa glucose-regulated protein",HUMAN,0.347,0.146,2.754,0.474,0.637,0.2,0.488,0.171
GSTA2_HUMAN,P09210,"Glutathione S-transferase A2",HUMAN,0.087,0.067,0.766,0.325,0.055,0.229,0.766,0.167
GSTM2_HUMAN,P28161,"Glutathione S-transferase Mu 2",HUMAN,0.625,1.107,0.879,0.787,0.353,0.211,0.597,0.308
GSTO1_HUMAN,P78417,"Glutathione S-transferase omega-1",HUMAN,0.929,1.472,4.018,1.644,4.786,0.839,0.839,3.105
H10_HUMAN,P07305,"Histone H1.0",HUMAN,1.306,0.302,5.395,1.905,4.966,4.406,1.82,1.047
H2AY_HUMAN,O75367,"Core histone macro-H2A.1",HUMAN,1.585,2.911,3.436,1.355,2.655,2.089,3.631,0.492
HBA_HUMAN,P69905,"Hemoglobin subunit alpha",HUMAN,0.37,0.27,7.178,0.145,0.136,0.223,2.168,1
HBB_HUMAN,P68871,"Hemoglobin subunit beta",HUMAN,0.34,0.685,3.133,0.461,0.051,0.52,5.395,0.608
HBD_HUMAN,P02042,"Hemoglobin subunit delta",HUMAN,0.497,0.619,1.096,0.147,0.045,0.964,2.63,0.38
HCDH_HUMAN,Q16836,"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial",HUMAN,0.57,0.497,2.148,0.592,0.174,0.488,1.871,1.514
HCFC1_HUMAN,P51610,"Host cell factor 1",HUMAN,1.69,2.399,1.419,1.159,1.038,3.664,3.162,1.419
