"dataset","description","tags","n1","n2","ZC.down","ZC.up","ZC.diff","nH2O.down","nH2O.up","nH2O.diff","PS_TPPG17.down","PS_TPPG17.up","PS_TPPG17.diff","PS_LMM16.down","PS_LMM16.up","PS_LMM16.diff","nAA.down","nAA.up","nAA.diff"
WLL+17_medium,"T / N medium",,21,39,-0.1282,-0.1291,-0.001,0.011,0.0191,0.0081,4.7059,6.5882,1.8824,5.1429,5.6923,0.5495,288,280,-8
WLL+17_large,"T / N large",,39,63,-0.1593,-0.1475,0.0119,0.0088,0.0464,0.0376,4.5588,5.0545,0.4957,4.3846,5.2063,0.8217,399,376,-23
WLL+17_huge,"T / N huge",,60,129,-0.1313,-0.1475,-0.0162,-0.0012,0.016,0.0172,3.8727,3.6228,-0.2499,4.3966,4.2403,-0.1562,359.5,475,115.5
BOK+18,"T / N",,108,59,-0.1223,-0.1346,-0.0123,-0.0078,0.0035,0.0113,4.4851,3.2075,-1.2776,4.9717,4.4068,-0.5649,462.5,535,72.5
YXZ+18,"T / N",,145,111,-0.1563,-0.1288,0.0275,-0.0081,0.0263,0.0345,3.8333,3.4898,-0.3435,4.0634,3.8716,-0.1918,484,344,-140
BEM+20,"T / N mouse",mouse,93,138,-0.1623,-0.1335,0.0288,-0.021,0.0138,0.0347,NA,NA,NA,NA,NA,NA,403,426.5,23.5
GZD+19_protein,"T / N protein",,403,52,-0.1572,-0.131,0.0262,-0.0108,0.0521,0.0628,3.4511,3.3953,-0.0557,3.6416,4.098,0.4564,418,503,85
GZD+19_phosphoprotein,"T / N phosphoprotein",,213,68,-0.1532,-0.1174,0.0358,0.0017,0.0448,0.0431,3.5,3.5,0,4.1137,4.5522,0.4385,468,607.5,139.5
JSZ+19,"T / N",,359,1649,-0.1457,-0.1236,0.0221,-0.021,0.0187,0.0397,4.1169,3.2149,-0.902,4.1201,4.4002,0.2801,440,520,80
ZZL+19,"T / N",,162,173,-0.1446,-0.1268,0.0179,0.0248,0.0443,0.0195,2.1879,3.3423,1.1544,3.1988,3.9884,0.7897,469.5,361,-108.5
GZL+20,"T / N",,234,769,-0.1442,-0.1242,0.02,0.0036,0.0191,0.0155,2.7962,3.4414,0.6452,3.5708,4.3647,0.7939,474,437,-37
SCL+20_differential,"T / N mitochondrial differential",,38,43,-0.1659,-0.1611,0.0048,0.0458,0.0483,0.0025,1.16,1.1667,0.0067,2.5185,2.4167,-0.1019,417.5,373,-44.5
SCL+20_unique,"T / N mitochondrial unique",,419,966,-0.1491,-0.1273,0.0218,0.0069,0.0127,0.0058,2.9225,3.9769,1.0544,3.8876,4.4422,0.5546,287,347,60
