protein,organism,ref,abbrv,chains,Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
gi|50555522,sequence,YDZ+15,NA,1,66,0,14,28,21,29,11,10,20,36,3,10,21,21,17,28,29,42,1,10
gi|50555850,sequence,YDZ+15,NA,1,40,8,22,31,21,66,12,18,37,30,6,18,28,23,27,21,25,29,0,11
gi|50556202,sequence,YDZ+15,NA,1,56,0,28,37,14,35,9,29,31,38,3,17,17,11,15,30,20,29,5,14
gi|50556290,sequence,YDZ+15,NA,1,41,7,23,36,23,51,8,24,34,31,9,17,18,14,15,30,17,36,7,17
gi|50556354,sequence,YDZ+15,NA,1,25,0,16,34,10,22,6,20,33,29,1,17,18,9,11,16,16,24,7,9
gi|50556866,sequence,YDZ+15,NA,1,22,0,8,10,5,36,10,19,23,14,2,10,12,6,23,11,13,21,1,8
gi|51012446,sequence,YDZ+15,NA,1,63,8,48,41,26,74,15,54,50,60,14,43,38,24,26,40,48,39,12,22
gi|210075713,sequence,YDZ+15,NA,1,63,11,39,35,20,62,26,24,24,49,20,20,27,22,40,35,43,49,6,23
gi|210075865,sequence,YDZ+15,NA,1,31,2,19,21,12,31,10,28,21,32,9,21,16,8,18,18,27,31,2,9
gi|210075935,sequence,YDZ+15,NA,1,37,0,21,15,12,33,3,23,26,31,3,14,23,6,7,15,16,37,0,9
gi|210075943,sequence,YDZ+15,NA,1,37,1,14,27,8,14,3,24,22,21,9,16,6,7,17,24,16,17,1,9
gi|210075981,sequence,YDZ+15,NA,1,31,0,12,18,3,2,0,4,19,3,2,7,2,4,1,8,14,9,0,0
gi|210076085,sequence,YDZ+15,NA,1,15,0,10,34,1,3,5,4,20,22,2,6,0,11,6,8,8,4,1,1
