Symbol,Entry,"Entry name","Fold change","Only in"
PPHLN1,Q8NEY8,PPHLN_HUMAN,NA,ADE
EHMT1,Q9H9B1,EHMT1_HUMAN,NA,ADE
POGZ,Q7Z3K3,POGZ_HUMAN,NA,ADE
AAAS,Q9NRG9,AAAS_HUMAN,NA,ADE
SMC5,Q8IY18,SMC5_HUMAN,NA,ADE
NOP14,P78316,NOP14_HUMAN,NA,ADE
MPHOSPH8,Q99549,MPP8_HUMAN,NA,ADE
MBD1,Q9UIS9,MBD1_HUMAN,NA,ADE
EXOSC10,Q01780,EXOSX_HUMAN,NA,ADE
FYTTD1,Q96QD9,UIF_HUMAN,NA,ADE
DDX56,Q9NY93,DDX56_HUMAN,NA,ADE
DCAF13,Q9NV06,DCA13_HUMAN,NA,ADE
CBX8,Q9HC52,CBX8_HUMAN,NA,ADE
RREB1,Q92766,RREB1_HUMAN,NA,ADE
UTP14A,Q9BVJ6,UT14A_HUMAN,NA,ADE
ZNF512,Q96ME7,ZN512_HUMAN,NA,ADE
WIZ,O95785,WIZ_HUMAN,NA,ADE
TNKS1BP1,Q9C0C2,TB182_HUMAN,NA,ADE
KDM5B,Q9UGL1,KDM5B_HUMAN,NA,ADE
ETV6,P41212,ETV6_HUMAN,NA,ADE
EED,O75530,EED_HUMAN,NA,ADE
DHX38,Q92620,PRP16_HUMAN,NA,ADE
SORBS1,Q9BX66,SRBS1_HUMAN,-17,NA
RPRD1A,Q96P16,RPR1A_HUMAN,-14.7,NA
UNC45A,Q9H3U1,UN45A_HUMAN,-13.4,NA
SATB2,Q9UPW6,SATB2_HUMAN,-10.4,NA
RSF1,Q96T23,RSF1_HUMAN,-8.8,NA
FLOT1,O75955,FLOT1_HUMAN,-7,NA
PMF1,Q6P1K2,PMF1_HUMAN,-5.8,NA
PHF14,O94880,PHF14_HUMAN,-5.5,NA
NUP50,Q9UKX7,NUP50_HUMAN,-5,NA
DDX27,Q96GQ7,DDX27_HUMAN,-5,NA
DNAJA3,Q96EY1,DNJA3_HUMAN,-4.9,NA
STAG1,Q8WVM7,STAG1_HUMAN,-4.9,NA
ACO2,Q99798,ACON_HUMAN,-4.7,NA
RAD21,O60216,RAD21_HUMAN,-4.7,NA
NOP10,Q9NPE3,NOP10_HUMAN,-4.3,NA
TFAM,Q00059,TFAM_HUMAN,-4.1,NA
ALDH1B1,P30837,AL1B1_HUMAN,-3.9,NA
FHL2,Q14192,FHL2_HUMAN,-3.8,NA
SNAP23,O00161,SNP23_HUMAN,-3.6,NA
CGN,Q9P2M7,CING_HUMAN,-3.4,NA
PKP3,Q9Y446,PKP3_HUMAN,-3.2,NA
UBA52,P62987,RL40_HUMAN,-3.2,NA
H1F0,P07305,H10_HUMAN,-3.2,NA
SF3B2,Q13435,SF3B2_HUMAN,-3,NA
