"IPI Number","Protein Name","UniProt","T-test p value","Ratio (C/N)"
IPI00003925,"PDHB Isoform 1 of Pyruvate dehydrogenase E1 component subunit beta, mitochondrial",P11177;Q6FH45;Q59G68;Q9UFK3;Q9BQ27;B2R7L0,0.028,0.745
IPI00003949,"UBE2N Ubiquitin-conjugating enzyme E2 N",Q16781;Q53Y81;P61088,0.004,1.684
IPI00004457,"AOC3 Membrane primary amine oxidase",Q45F94;B2RCI5;Q9UEU7;Q16853,0.038,0.355
IPI00004902,"ETFB Isoform 1 of Electron transfer flavoprotein subunit beta",Q9Y3S7;P38117;Q71RF6;B3KNY2;Q6IBH7,0.02,0.801
IPI00005657,"Uncharacterized protein",Q5STK2;O15212,0.028,2.478
IPI00005809,"SDPR Serum deprivation-response protein",O95810,0.006,0.441
IPI00005969,"CAPZA1 F-actin-capping protein subunit alpha-1",Q53FQ6;P52907;Q6FHD5,0.04,0.812
IPI00006378,"CCDC72 Coiled-coil domain-containing protein 72",NA,0.027,1.66
IPI00006690,"EPX Eosinophil peroxidase",P11678;Q4TVP3,0.002,9.017
IPI00007047,"S100A8 Protein S100-A8",Q9UCJ0;Q9UC92;A8K5L3;Q9UCM6;Q9UC84;P05109;Q5SY70,0,17.942
IPI00007067,"GLIPR2 Golgi-associated plant pathogenesis-related protein 1",Q8N2S6;Q9H4G4;Q68CU1;Q5VZR1;Q8WWC9;Q8WX36,0.05,0.641
IPI00007423,"ANP32B Isoform 1 of Acidic leucine-rich nuclear phosphoprotein 32 family member B",P78459;P78458;B2R9C7;Q5T6W8;Q53F35;Q92688;O00655,0.033,2.753
IPI00007935,"PDLIM5 Isoform 1 of PDZ and LIM domain protein 5",Q56VN4;Q8WVK0;Q59FC9;O60705;A6NFZ5;Q9P1D1;Q96HC4;Q4W5K9;Q5UW38;A8K6F9,0.006,1.821
IPI00008219,"RAD23A UV excision repair protein RAD23 homolog A",Q5M7Z1;Q59EU8;P54725,0.036,1.801
IPI00008483,"MAOA Amine oxidase [flavin-containing] A",Q53YE7;Q5ULA9;Q16426;P21397;Q5ULA3;Q5UL91;Q49A63;Q5UL94;Q53EZ0,0.013,0.198
IPI00008494,"ICAM1 Intercellular adhesion molecule 1",Q99930;Q15463;Q14601;P05362;B2R6M3;Q5NKV8;Q5NKV7;Q96B50,0.02,2.831
IPI00008530,"RPLP0 60S acidic ribosomal protein P0",Q6NSF2;Q9BVK4;Q8NHW5;Q3B7A4;P05388;Q53HK9;Q53HW2;Q9BZT1;Q3MHV2,0.004,2.057
IPI00008575,"KHDRBS1 Isoform 1 of KH domain-containing, RNA-binding, signal transduction-associated protein",Q6PJX7;Q99760;Q07666;Q8NB97,0.02,1.524
IPI00008934,"HMGCS2 Hydroxymethylglutaryl-CoA synthase, mitochondrial",P54868;B7Z8R3;Q6IBF4;Q5SZU2,0.033,0.36
IPI00009010,"TRMT112 tRNA methyltransferase 112 homolog",Q3MHC7;Q9UI30;B2R539;Q8N2Z4,0.03,2.014
IPI00009123,"NUCB2 Isoform 1 of Nucleobindin-2",Q8NFT5;A8K642;Q2L696;P80303,0.033,0.601
IPI00009268,"ACY1;ABHD14A cDNA FLJ60317, highly similar to Aminoacylase-1",NA,0.023,0.615
IPI00009315,"ACBD3 Golgi resident protein GCP60",Q5VTJ0;Q9H3P7;Q8N4D6;Q9H6U3;B2RB29;Q6P9F1;Q8IZC5,0.039,3.128
IPI00009328,"EIF4A3 Eukaryotic initiation factor 4A-III",Q6IBQ2;Q15033;Q96A18;P38919,0.026,2.329
IPI00009938,"CEACAM1 Isoform 1 of Carcinoembryonic antigen-related cell adhesion molecule 1",Q5UB49;Q13854;Q9UQV9;O60430;Q13859;Q13858;P13688;Q7KYP5;Q069I7;Q15601;Q15600;A6NE38;Q16170;Q3KRG8;A8MY49;Q96CA7;Q13860,0.002,0.351
IPI00010136,"CTBP2 Isoform 2 of C-terminal-binding protein 2",Q5SQP8;P56545;Q5SQP7;Q1WIS0;Q8IY44;A8K2X5;Q86SV0;Q69YI3;Q9H2T8;O43449,0.024,2.325
IPI00010274,"TPSAB1 TPSAB1 protein",P20231;Q6B051;Q9UQI1;Q6NZY1;Q86TM8;Q9UQI7;P15157;Q9UQI6;O95827;Q9H2Y4;Q15664;Q6B052;Q15663;Q96RZ7;Q6FHB8;Q9H2Y5;Q96RZ6;Q15661;Q86UA5,0.013,0.3
IPI00010346,"NLN Neurolysin, mitochondrial",Q96K48;Q8NDD9;Q9BYT8;Q9ULJ4;Q9BQD0,0.034,2.763
IPI00010779,"TPM4 Isoform 1 of Tropomyosin alpha-4 chain",Q9H8Q3;Q5U0D9;Q15659;Q9BU85;P67936;Q9UCS3;Q9UCS4;Q9UCS1;P07226;Q9UCS2,0.021,1.489
IPI00010810,"ETFA Electron transfer flavoprotein subunit alpha, mitochondrial",B4DT43;Q53XN3;P13804,0.029,0.763
IPI00010949,"SIAE Isoform 1 of Sialate O-acetylesterase",Q8IUT9;Q9NT71;B3KPB0;Q9HAU7;Q9HAT2,0.031,0.49
IPI00011200,"PHGDH D-3-phosphoglycerate dehydrogenase",Q96RV5;Q96RV6;Q96RV7;Q9UMY2;Q9UMY3;Q96RV8;Q5SZU1;Q96RV9;Q5SZU3;Q8N5M8;O43175;Q9BQ01;B2RD08,0.003,0.35
IPI00011201,"ME2 NAD-dependent malic enzyme, mitochondrial",Q9H4B2;P23368;Q9BYG1;Q9BWL6,0.004,0.572
IPI00011217,"NDUFS4 NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial",O43181;Q9BS69,0.019,0.424
IPI00011276,"BCKDHB 2-oxoisovalerate dehydrogenase subunit",Q6LCK9;Q9BQL0;P21953;Q5T2J3,0.004,0.466
IPI00012119,"DCN Isoform A of Decorin",P07585;Q9Y5N8;Q9Y5N9;Q6FH10;Q9P0Z0;Q9P0Z1,0.007,0.402
IPI00012303,"SELENBP1 Isoform 1 of Selenium-binding protein 1",B4DKP6;Q9H8A8;Q96GX7;A6NML9;Q49AQ8;B2RDR3;Q13228,0.01,0.442
IPI00012795,"EIF3I Eukaryotic translation initiation factor 3 subunit I",Q5TFK1;Q13347;Q53HU7;Q5U0F4;Q9P1D9;C4AMB6,0.022,0.808
IPI00012895,"CA12 Isoform 1 of Carbonic anhydrase 12",Q9NXM9;Q9BWG2;Q53YE5;O43570,0.025,0.426
IPI00012912,"CPT2 Carnitine O-palmitoyltransferase 2, mitochondrial",Q5SW68;B2R6S0;Q53G79;P23786;Q9BQ26,0.015,0.467
IPI00013296,"Uncharacterized protein",Q5SUJ3;P62269;Q5GGW2;P25232;Q6IPF8,0.008,2.386
IPI00013698,"ASAH1 N-acylsphingosine amidohydrolase (Acid ceramidase) 1",Q96AS2;Q13510;Q53H01;Q9H715;Q6W898;A8K0B6,0.016,0.582
IPI00013847,"UQCRC1 Cytochrome b-c1 complex subunit 1, mitochondrial",P31930;B2R7R8;Q96DD2,0,0.622
IPI00013877,"HNRNPH3 Isoform 1 of Heterogeneous nuclear ribonucleoprotein H3",Q9UFU4;Q9NPI4;Q9BSX1;Q9Y4J5;B3KRE1;A8K682;Q53F48;Q9NPA7;Q9NP96;Q9NP53;P31942,0.04,1.694
IPI00013891,"TRA2A Isoform Long of Transformer-2 protein homolog alpha",Q549U1;Q13595;Q8IXF7,0.001,0.461
IPI00013895,"S100A11 Protein S100-A11",Q5VTK0;P31949,0,1.873
IPI00013937,"CMA1 Chymase",B5BUM8;Q4FEB5;Q3SY37;Q16018;Q9UDH5;P23946;Q4FEB3;Q3SY36,0.006,0.198
IPI00014048,"RNASE1 Ribonuc",P07998;Q6ICS5;Q16869;Q16830;Q9UCB5;Q9UCB4;Q1KHR2;B2R589,0.023,0.431
IPI00014516,"CALD1 Isoform 1 of Caldesmon",Q13979;A8K0X1;Q8NI76;Q5HY93;Q6PJM5;Q13978;Q9UD91;Q05682;Q05DR4;Q6P707;Q14742;Q14741;Q7Z2Y9;Q9NYG1,0.028,1.814
IPI00014572,"SPARC Secreted protein, acidic, cysteine-rich (Osteonectin), isoform CRA_a",Q6IBK4;P09486;Q6QE20,0.037,0.53
IPI00014625,"CLCA1 Calcium-activated chloride channel regulator 1",Q9UNF6;Q9UPC6;O95151;Q5TDF4;B2RAV5;A8K7I4,0,0.188
IPI00015018,"PPA1 Inorganic pyrophosphatase",Q5SQT6;Q9Y5B1;Q5SQT7;Q2M348;Q9UQJ5;Q6P7P4;Q15181,0.021,2.151
IPI00015947,"DNAJB1 DnaJ homolog subfamily B member 1",Q6FI51;P25685;Q6FHS4,0.035,1.75
IPI00016249,"FXR1 Isoform 1 of Fragile X mental retardation syndrome-related protein 1",Q14341;Q7Z450;Q8N6R8;P51114;A8K9B8,0.014,0.578
IPI00016801,"GLUD1 Glutamate dehydrogenase 1, mitochondrial",P00367;Q53GW3;Q5TBU3;Q9UQV0;Q59FQ4;Q14400,0.017,0.813
IPI00017184,"EHD1 EH domain-containing protein 1",O14611;Q9UNR3;Q2M3Q4;B2R5U3;Q9H4M9,0.039,1.939
IPI00017304,"NOS2 Isoform 1 of Nitric oxide synthase, inducible",Q4TTS5;Q16263;Q16692;P35228;O94994;Q9UM94;B7ZLY2;O60757;A1L3U5;Q9UD42,0.043,3.401
IPI00017344,"RAB5B Ras-related protein Rab-5B",A8K982;Q6FI54;P35277;P35239;Q86TH0;P61020;Q8IXL2;Q9H2I5;Q6PIK9,0.037,0.44
IPI00017375,"SEC23A Protein transport protein Sec23A",Q15436;B3KXI2;Q8NE16;B2R5P4,0.016,1.628
IPI00017592,"LETM1 Isoform 1 of LETM1 and EF-hand domain-containing protein 1, mitochondrial",Q9UF65;O95202;B4DED2,0.016,0.593
IPI00017601,"CP Ceruloplasmin",Q14063;Q1L857;Q6NSB2;P00450;Q2PP18;Q9UKS4;A5PL27,0.029,0.431
IPI00018206,"GOT2 Aspartate aminotransferase, mitochondrial",Q53FL3;Q9BWA3;P00505,0.048,0.697
IPI00018219,"TGFBI Transforming growth factor-beta-induced protein ig-h3",O14471;O14472;O14476;Q53XM1;Q59F63;Q53GU8;O43219;O43217;Q15582;O43218;O43216,0.004,6.089
IPI00018873,"NAMPT Nicotinamide phosphoribosyltransferase",Q8WW95;P43490;Q3KQV0;A4D0Q9;A4D0R0,0.004,5.342
IPI00018909,"TFF3 Trefoil factor 3",Q07654;Q9UDA5;Q96NX0,0.013,0.447
IPI00019038,"LYZ Lysozyme C",Q13170;B2R4C5;P61626;P00695;Q9UCF8,0.002,15.661
IPI00019599,"TMEM189;UBE2V1;TMEM189-UBE2V1 Isoform 1 of Ubiquitin-conjugating enzyme E2 variant 1",Q9GZT0;Q9UM50;Q9GZW1;A5PLL7;Q5TGE1;Q5TGE3;Q5TGE2;Q13532;Q9H4J4;Q9UM48;Q9UM49;Q96H34;Q9H4J3;Q13404;Q9UKL1;Q13403,0.03,2.355
IPI00019988,"SGSH N-sulphoglucosamine sulphohydrolase",Q59EB1;Q53GP1;P51688;A8K5E2,0.014,0.53
IPI00020021,"DEK Protein DEK",P35659;B2R6K6;Q5TGV4;Q5TGV5;B4DN37;Q6MZJ9,0.01,2.794
IPI00020075,"ABHD10 Abhydrolase domain-containing protein 10, mitochondrial",Q8TCF9;Q9NUJ1,0,0.565
IPI00020091,"ORM2 Alpha-1-acid glycoprotein 2",NA,0.018,0.301
IPI00020101,"Uncharacterized protein",Q93080;Q3B872;Q4VB69;P02278;B2R4S9;Q93078;P62807,0,2.288
IPI00020687,"SPINK1 Pancreatic secretory trypsin inhibitor",P00995,0.009,0.33
IPI00020986,"LUM Lumican",P51884;Q96QM7;Q53FV4;B2R6R5,0.001,0.459
IPI00020987,"PRELP Prolargin",Q7Z4B2;P51888;Q6FHG6;Q6FG38,0.004,0.413
IPI00021129,"AP3B1 Isoform 1 of AP-3 complex subunit beta-1",Q7Z393;Q9HD66;O00580;O00203;Q3MNE1,0.026,2.077
IPI00021266,"RPL23A;SNORD4A 60S ribosomal protein L23a",P29316;P62750;P39024;Q92774;B2R5B2,0.01,1.341
IPI00021369,"Uncharacterized protein",P02511;B0YIX0;Q9UC37;O43416;Q9UC38;Q9UC41;Q9UC39;Q9UC40,0.001,0.149
IPI00021692,"MBNL1 Isoform 1 of Muscleblind-like protein 1",Q68DD0;Q96RE3;Q9NR56;O43311;O43797;Q86VM6;Q86UV9;Q86UV8;Q96P92,0.045,0.531
IPI00021700,"PCNA;PCNA-AS1 Pro",Q6FI35;Q6FHF5;Q7Z6A3;Q7Z6A1;Q7Z6A2;P12004;Q7Z6A0;B2R897,0.037,1.747
IPI00021728,"EIF2S2 Eukaryotic translation initiation factor 2 subunit 2",Q9UJE4;Q9BVU0;Q96I16;Q6IBR8;Q3B7I9;Q59GZ3;P20042,0.019,1.38
IPI00021785,"COX5B Cytochrome c oxidase subunit 5B, mitochondrial",P10606;Q96J18;Q53YB7;Q99610;Q6FHM4;Q6FHJ9,0.048,0.706
IPI00021827,"DEFA3 Neutrophil defensin 3",NA,0,16.831
IPI00021831,"PRKAR1A cAMP-dependent protein kinase t",Q68DQ4;Q567S7;Q96P62;P10644;B2R5T5,0.026,0.689
IPI00021840,"RPS6 40S ribosomal protein S6",Q8N6Z7;P10660;A2A3R6;P08227;Q4VBY7;P62753;Q96DV6,0.006,1.571
IPI00022200,"COL6A3 Isoform 1 of Collagen alpha-3(VI) chain",Q8N4Z1;Q6MZG6;A8MT30;P12111;B7ZW00;B4E3U5;B7ZMJ7;Q59F25;Q16501;Q53QF6;Q53QF4;Q63HQ4,0,2.054
IPI00022283,"TFF1 Trefoil factor 1",P04155,0.049,2.349
IPI00022300,"METTL7A Methyltransferase-like protein 7A",Q9Y422;Q9H7R3;Q9H8H3;Q9UHZ7,0.026,0.485
IPI00022314,"SOD2 Superoxide dismutase [Mn], mitochondrial",Q9UG59;Q7Z7M7;Q7Z7M6;B2R7R1;Q4ZJI1;Q9P2Z3;Q7Z7M5;Q7Z7M4;Q6LE88;Q96EE6;P78434;Q5TCM1;Q5TCM0;Q6LEN1;B4DL20;P04179;Q16792;Q96AM7,0.003,1.917
IPI00022418,"FN1 Isoform 1 of Fibronectin",Q68DT4;P02751;Q59EH1;Q68DP8;Q53S27;O95609;Q68DP9;Q14327;Q7L553;Q14328;Q14325;Q14326;Q60FE4;Q7Z391;Q9UQS6;Q6MZF4;Q6MZM7;Q6PJE5;Q9H382;Q59G22;Q8IVI8;Q6LDP6;Q68CX6;Q9H1B8;Q86T27;Q6MZU5;Q6N084;Q564H7;Q585T2;Q9UMK2;Q96KP7;Q96KP8;Q96KP9;Q14312;Q6N025;Q6N0A6;O95610;Q9HAP3;Q17RV7;Q5CZ99;Q6MZS0,0,2.853
IPI00022429,"ORM1 Alpha-1-acid glycoprotein 1",NA,0.021,0.655
IPI00022431,"AHSG cDNA FLJ55606, highly similar to Alpha-2-HS-glycoprotein",B2R7G1;P02765;O14962;O14961;Q9P152;A8K9N6,0.046,0.679
IPI00022649,"SLC12A2 Isoform 1 of Solute carrier family 12 member 2",P55011;Q8N713;Q8WWH7;Q53ZR1;Q59GB7,0.017,1.519
IPI00022810,"CTSC Isoform 1 of Dipeptidyl peptidase 1",Q8WY99;Q53G93;Q7M4N9;Q7Z5U7;Q8WYA8;A8K7V2;Q8WYA7;Q71E75;Q2HIY8;Q71E76;P53634;Q7Z3G7;B5MDD5,0.003,0.256
IPI00023234,"UBA2 SUMO-activating enzyme subunit 2",O95605;Q59H87;Q6IBP6;Q9UED2;Q9UBT2;Q9NTJ1,0.046,4.635
IPI00024095,"ANXA3 Annexin A3",P12429;B2R9W6;Q6LET2;Q59EE3,0.005,3.495
IPI00024284,"HSPG2 Basement membrane-specific heparan sulfate proteoglycan core",Q2VPA1;Q9H3V5;Q5SZI3;Q5SZI5;Q8TEU3;Q59EG0;Q16287;P98160,0.048,1.612
IPI00024623,"ACADSB Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",P45954;Q5SQN6;Q96CX7,0.022,0.569
IPI00024990,"ALDH6A1 Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial",Q53H94;Q53FN8;Q9UKM8;Q02252;B2R609,0.006,0.278
IPI00025039,"FBL rRNA 2-O-methyltransferase fibrillarin",Q8WUT5;Q6IAT5;O75259;Q96BS4;Q9UPI6;B5BUE8;P22087,0.046,1.404
IPI00025273,"Uncharacterized protein",Q3B7A7;A8K945;O14659;P22102;A8KA32;Q15374;Q59HH3;Q52M77;Q71VH3,0.049,1.811
IPI00025344,"NDUFS6 NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial",Q6IBC4;O75380,0.006,0.419
IPI00025465,"OGN cDNA FLJ59205, highly similar to M",Q9UNK5;A8K0R3;P20774;Q9UF90;Q7Z4E0;Q7Z532;Q6FIB0,0.001,0.11
IPI00025796,"NDUFS3 NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial",Q9UNQ8;Q53FM7;O75489;B2R9J1;Q9UF24,0.005,0.509
IPI00026268,"GNB1 Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1;>IPI",P04697;B1AJZ7;Q5QPT1;Q71UM6;P62873;Q71UM7;P04901;Q1RMY8,0.004,0.55
IPI00026271,"Uncharacterized protein",B2R5G5;Q5BJI0;P06366;Q15372;P62263,0.005,1.427
IPI00026516,"OXCT1 Succinyl-CoA:3-ketoacid-coenzyme A transferase 1, mitochondrial",P55809;Q6IAV5,0.001,0.295
IPI00026848,"LRPAP1 Alpha-2-macroglobulin receptor-associated protein",P30533;Q53HS6;Q53HQ3;Q2M310,0.004,0.405
IPI00026926,"GUCA2A Guanylin",Q02747,0.032,0.256
IPI00026952,"PKP3 Plakophilin 3b (Fragment)",Q9Y446;Q53EX8,0.001,9.103
IPI00026970,"SUPT16H FACT complex subunit SPT16",Q0VGA3;Q6P2F1;Q6GMT8;Q6PJM1;Q9Y5B9;Q9NRX0,0.013,2.075
IPI00027233,"SCO1 Protein SCO1 homolog, mitochondrial",B2RDM0;O75880,0.014,0.475
IPI00027444,"SERPINB1 Leukocyte elastase inhibitor",Q9UDF8;Q53FB9;P30740;Q5W0E1;A8K5L2,0.027,1.724
IPI00027462,"S100A9 Protein S100-A9",P06702;Q9UCJ1;Q9NYM0;Q6FGA1,0.001,14.338
IPI00027486,"CEACAM5 Carcinoembryonic antigen-related",P06731;Q68DM9;Q13984;Q8N4D0;Q7KZ28;Q53G30;P78448,0.044,3.997
IPI00027701,"ACADS Short-chain specific acyl-CoA dehydrogenase, mitochondrial",P16219;P78331,0.025,0.386
IPI00027745,"GUSB Isoform Long of Beta-glucuronidase",Q549U0;P08236;Q96CL9,0.032,0.441
IPI00027827,"SOD3 Extracellular superoxide dismutase [Cu-Zn]",P08294;Q16867;Q5U781;Q6FHA2,0.002,0.235
IPI00027851,"HEXA cDNA FLJ53927, highly similar to Beta-hexosaminidase alpha chain",P06865;Q6AI32;Q9BVJ8;Q6PJ76;Q16017;Q53HS8,0.01,0.31
IPI00028270,"CEACAM7 Isoform 2a of Carcinoembryonic antigen-related cell adhesion molec",Q0VAC1;Q12813;A8K848;Q13983;O15149;Q9UPJ2;O15148;Q14002,0.022,0.42
IPI00028520,"NDUFV1 Isoform 1 of NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial",Q6IBR3;P49821;Q96HS7;O60924;Q16104;O60940;Q96ID4;Q53G70;Q96BF8,0.004,0.241
IPI00028883,"NDUFB8 NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial",Q5W145;Q5W144;O95169;Q9UJR4;Q9UG53;A8K0L4;Q9UQF3,0.033,0.536
IPI00029400,"ZRANB2 Isoform 1 of Zinc finger Ran-binding domain-containing protein 2",Q8IXN6;Q5VV33;Q5VV34;Q68CX7;Q59F92;O95218;Q68DP0;Q9UP63;Q53GS3,0.04,0.535
IPI00029557,"GRPEL1 GrpE protein homolog 1, mitochondrial",B2R783;Q9HAV7;Q549M6,0.028,2.258
IPI00029601,"CTTN Src substrate cortactin",Q76MU0;Q96H99;Q8N707;Q53HG7;Q14247,0.015,1.508
IPI00029658,"EFEMP1 Isoform",Q53TA7;A8K3I4;Q59G97;Q12805;Q580Q6;Q541U7,0.021,4.006
IPI00029730,"STX4 Syntaxin-4",Q15525;Q12846;Q6FHE8,0.002,2.042
IPI00030179,"RPL7P32;RPL7 60S ribosomal protein L7",Q6IBM9;Q15289;P18124;A8K504;Q5I0X1;Q3KQU0,0.003,1.628
IPI00030320,"DDX6 Probable ATP-dependent RNA helicase DDX6;",Q8IV96;P26196;Q5D048,0.021,2.352
IPI00030767,"C19orf33 Isoform 1 of Immortalization up-regulated protein",Q0P6G2;Q96H58;Q9HCR4;Q9GZP8,0.013,0.159
IPI00030968,"C9orf142 Isoform 1 of  C9orf142",Q9BUH6;Q8IY19,0.043,1.974
IPI00031008,"TNC Isoform 1 of Tenascin",Q14583;P24821;Q15567;Q6MZI1;Q5T7S3;Q4LE33,0,52.764
IPI00031036,"SLC26A3 Chloride anion exchanger",P40879;Q6MZW7;Q75N04,0.036,0.248
IPI00031420,"UGDH UDP-glucose 6-dehydrogenase",Q9NQ83;Q9NQ82;B3KUU2;Q9NQ81;Q9NY20;O60589;O60701,0.008,0.488
IPI00031801,"CSDA Isoform 1 of DNA-binding protein A",Q96GD7;Q14121;B2RBW6;P16989;Q969N6;Q96B76;Q59EB5,0.045,0.569
IPI00031836,"DRG1 Developmentally-regulated GTP-binding protein 1",Q9UGF2;Q8WW69;Q9Y295;B2RDS8;Q9UFA5;Q6FGP8,0.012,2.701
IPI00032107,"SLC26A2 Sulfate transporter",B2R6J1;Q7Z4B6;Q6N051;P50443;A8K2U3;Q7Z4C0,0.023,0.503
IPI00032140,"SERPINH1 Serpin H1",Q9NP88;Q5XPB4;B3KVJ3;Q9NPA9;Q6NSJ6;Q8IY96;P50454;P29043,0,3.571
IPI00032313,"Uncharacterized protein",Q6ICP8;P26447;A8K7R8,0.035,0.673
IPI00034280,"DHRS11 Isoform 1 of Dehydrogenase/reductase SDR family member 11",Q9BUC7;Q6UWP2;B2RDZ3;Q59G62;Q9H674,0.023,0.485
IPI00060715,"KCTD12 BTB/POZ domain-containing protein KCTD12",Q96CX2,0.035,0.485
IPI00062120,S100A1,Q96FQ6;A8K439;Q5RHS6,0.038,0.438
IPI00096066,"SUCLG2 Succinyl-CoA ligase [GDP-forming] subunit beta, mitochondrial",Q6NUH7;O95195;Q9Y436;Q8WUQ1;Q96I99;Q3ZCW5;Q86VX8,0,0.469
IPI00100656,"TECR Isoform 1 of Trans-2,3-enoyl-CoA reductase",Q9NZ01;Q9Y6P0;Q9BWK3;Q6IBB2;O75350;B2RD55,0.041,2.876
IPI00100980,"EHD2 EH domain-containing protein 2",Q8NCJ3;Q96CB6;B2RDH9;Q9NZN4,0.035,0.624
IPI00101645,"AHCYL2 Isoform 1 of Putative adenosylhomocysteinase 3",Q96HN2;O94917;Q6ZNS6,0.008,0.576
IPI00101797,"VSIG2 Isoform 1 of V-set and immunoglobulin domain-containing protein 2",O95791;Q9NX42;Q96IQ7,0.004,0.436
IPI00103387,"GIMAP1 GTPase IMAP family member 1",Q8WWP7;B2RCI3;Q8NAZ0,0.03,2.432
IPI00140420,"SND1 Staphylococcal nuclease domain-containing protein 1",Q13122;Q7KZF4;Q59FF0;Q96AG0;Q86UF7,0.038,1.275
IPI00166738,"ZADH2 Zinc-binding alcohol dehydrogenase domain-containing protein 2",Q4G1C4;Q8N4Q0;A8KA15,0.009,0.609
IPI00167949,"MX1 In",Q8NAA8;B3KU10;P20591;Q86YP5;Q96CI3,0.022,2.42
IPI00168388,"SRP68 Isoform 1 of Signal recognition particle 68 kDa protein",Q8NCJ4;B3KMI9;Q96K97;Q8WUK2;Q96K98;Q9UHB9,0.028,1.837
IPI00169383,"PGK1 Phosphoglycerate kinase 1",Q5J7W1;Q8NI87;P00558;Q6IBT6;A8K4W6,0.025,1.655
IPI00171438,"TXNDC5;MUTED;MUTED-TXNDC5 Thioredoxin domain-containing protein 5",NA,0.016,0.583
IPI00171611,"HIST2H3D;HIST2H3A;HIST2H3C Histone",Q6NWP9;Q6NWP8;Q71DJ3;P02296;A0PK91;A5PLR1;P02295;Q6FGY6;Q71DI3;A0PJT7;P20671;Q93081;Q6ISV8;A6NFS4;P68431;Q6NXU4;A2BDF6;Q6B053;P16106;P57754,0.001,2.672
IPI00176193,"COL14A1 Isoform 1 of Collagen alpha-1(XIV) chain",Q4G0W3;O00260;O00261;O00262;Q5XJ18;Q05708;B2RU07;Q05707;Q9UDF6;Q96C67,0.039,0.472
IPI00176469,"ADCK3 Isoform 1 of Chaperone activity of bc1 complex-like, m",Q9NQ67;Q8NI60;Q5T7A2;Q5T7A5;Q5T7A4;Q9HBQ1;Q8NCJ6;Q63HK0,0.033,0.513
IPI00176903,"PTRF Isoform 1 of Polymerase I and transcript release factor",Q6NZI2;Q6GMY1;Q9BT85;O00535;B2RAW7;Q9HAP4;Q96H74,0.022,0.581
IPI00178352,"FLNC Isoform 1 of Filamin-C",Q14315;Q9Y503;Q9NS12;B2ZZ88;Q9NYE5;O95303;Q07985;Q59H94;Q9UMR8,0.022,0.254
IPI00179169,"RPGRIP1 Isoform 1 of X-linked retinitis pigmentosa GTPase regulator-interacting protein 1",Q9HBK6;Q9NR40;Q9HB94;Q96QA8;Q9HB95;Q5D221;Q7Z2W6;Q96KN7;Q8IXV5,0.016,0.505
