Gene.Symbol,Accession.No.,Entry,"Entry name",,Fold.Change.ADE.CRC,Fold.Change.ADE.CIN,Fold.Change.ADE.MIN
POF1B,IPI00103242,Q8WVV4,POF1B_HUMAN,,-1.78,-1.49,-2.22
TGFBI,IPI00018219,Q15582,BGH3_HUMAN,,-1.84,-1.65,-2.07
THOC4,IPI00328840,Q86V81,THOC4_HUMAN,,-2.07,NA,-3.96
EPPK1,IPI00010951,P58107,EPIPL_HUMAN,,-2.09,-2.02,-2.16
CTNNA1,IPI00215948,P35221,CTNA1_HUMAN,,-2.15,-2.02,-2.28
VIL1,IPI00218852,P09327,VILI_HUMAN,,-2.22,-1.69,-3.22
EVPL,IPI00023711,Q92817,EVPL_HUMAN,,-2.25,-1.52,-4.36
TPR,IPI00022970,P12270,TPR_HUMAN,,-2.27,-2.18,-2.36
U2AF2,IPI00830039,P26368,U2AF2_HUMAN,,-2.38,-3.15,NA
LAMA4,IPI00329482,Q16363,LAMA4_HUMAN,,-2.38,-2.55,-2.23
HSPA1A,IPI00304925,P0DMV8,HS71A_HUMAN,,-2.44,NA,-4.08
VCL,IPI00291175,P18206,VINC_HUMAN,,-2.44,-2.03,-3.07
CPSF6,IPI00012998,Q16630,CPSF6_HUMAN,,-2.46,-2.36,-2.58
JUP,IPI00789324,P14923,PLAK_HUMAN,,-2.55,NA,NA
SON,IPI00000192,P18583,SON_HUMAN,,-2.57,NA,NA
LIMA1,IPI00008918,Q9UHB6,LIMA1_HUMAN,,-2.65,NA,-4.47
PPL,IPI00298057,O60437,PEPL_HUMAN,,-2.69,NA,-4.13
MRLC2,IPI00033494,O14950,ML12B_HUMAN,,-2.72,-3.19,-2.37
EMILIN2,IPI00012510,Q9BXX0,EMIL2_HUMAN,,-2.76,-5.58,NA
COL6A1,IPI00291136,P12109,CO6A1_HUMAN,,-3.1,-5.28,-2.19
NUPL1,IPI00107122,Q9BVL2,NUP58_HUMAN,,-3.21,-3.21,-3.21
NUP54,IPI00172580,Q7Z3B4,NUP54_HUMAN,,-3.32,NA,-3.77
IMMT,IPI00009960,Q16891,MIC60_HUMAN,,-3.39,NA,NA
DSG2,IPI00028931,Q14126,DSG2_HUMAN,,-3.4,-4.27,NA
ACIN1,IPI00007334,Q9UKV3,ACINU_HUMAN,,-3.44,-2.74,-4.64
TNXB,IPI00025276,P22105,TENX_HUMAN,,-3.46,-1.86,-24.28
ITGB4,IPI00220845,P16144,ITB4_HUMAN,,-3.46,-5.34,-2.56
RPSA,IPI00413108,P08865,RSSA_HUMAN,,-3.62,NA,-5.17
MATN2,IPI00473118,O00339,MATN2_HUMAN,,-4.27,NA,-6.8
LOC100126583,IPI00784950,Q6MZV6,Q6MZV6_HUMAN,,-4.28,NA,NA
TINAGL1,IPI00005563,Q9GZM7,TINAL_HUMAN,,-4.36,-5.78,-3.51
COL6A2,IPI00304840,P12110,CO6A2_HUMAN,,-4.39,NA,-3.03
NID1,IPI00026944,P14543,NID1_HUMAN,,-4.53,-4.44,-4.63
NUP62,IPI00293533,P37198,NUP62_HUMAN,,-4.69,-4.01,-5.65
TJP1,IPI00216219,Q07157,ZO1_HUMAN,,-4.92,NA,-70.71
DYNLL1,IPI00019329,P63167,DYL1_HUMAN,,-5.29,NA,-8.43
LTBP2,IPI00292150,Q14767,LTBP2_HUMAN,,-5.39,NA,-33.25
LAMA5,IPI00641693,O15230,LAMA5_HUMAN,,-5.39,-4.05,-8.05
PKP2,IPI00005264,Q99959,PKP2_HUMAN,,-5.42,NA,-10.11
KRT77,IPI00376379,Q7Z794,K2C1B_HUMAN,,-6.02,NA,-Inf
ABLIM1,IPI00551038,O14639,ABLM1_HUMAN,,-6.09,-3.56,-21.01
CDH1,IPI00025861,P12830,CADH1_HUMAN,,-7.36,-7.1,-7.64
NUP98,IPI00006038,P52948,NUP98_HUMAN,,-7.56,-Inf,-3.78
FCGBP,IPI00242956,Q9Y6R7,FCGBP_HUMAN,,-7.88,NA,-10.76
LTBP4,IPI00783492,Q8N2S1,LTBP4_HUMAN,,-8.62,-4.94,-33.65
CTNNB1,IPI00017292,P35222,CTNB1_HUMAN,,-8.73,NA,-Inf
RP1-14N1.3,IPI00397801,Q5D862,FILA2_HUMAN,,-8.77,-Inf,NA
NUP50,IPI00026940,Q9UKX7,NUP50_HUMAN,,-8.81,NA,-Inf
DSC2,IPI00025846,Q02487,DSC2_HUMAN,,-8.88,-Inf,NA
SEC16A,IPI00641384,O15027,SC16A_HUMAN,,-9.47,NA,-Inf
ITGA6,IPI00010697,P23229,ITA6_HUMAN,,-9.51,-37.36,-5.45
KIAA1217,IPI00645403,Q5T5P2,SKT_HUMAN,,-10.17,-7.14,-17.69
NUP214,IPI00183294,P35658,NU214_HUMAN,,-10.21,-8.44,-12.93
SFRS6,IPI00012345,Q13247,SRSF6_HUMAN,,-10.79,-Inf,NA
LAMA2,IPI00218725,P24043,LAMA2_HUMAN,,-11,-5.5,-Inf
DAB2,IPI00179438,P98082,DAB2_HUMAN,,-11.15,-5.58,-Inf
LAMB2,IPI00296922,P55268,LAMB2_HUMAN,,-11.49,-7.25,-27.7
NUP93,IPI00397904,Q8N1F7,NUP93_HUMAN,,-11.73,NA,-Inf
CTNND1,IPI00182469,O60716,CTND1_HUMAN,,-11.84,-14.05,-10.23
EPB41L2,IPI00015973,O43491,E41L2_HUMAN,,-12.48,-14.38,-11.02
AKAP9,IPI00220625,Q99996,AKAP9_HUMAN,,-12.82,-14.2,-11.67
DDX5,IPI00017617,P17844,DDX5_HUMAN,,-13.17,-6.59,-Inf
PLS1,IPI00032304,Q14651,PLSI_HUMAN,,-14.07,-7.03,-Inf
DNASE1,IPI00031065,P24855,DNAS1_HUMAN,,-14.39,-Inf,-7.19
LOC113230,IPI00061987,Q96FF7,YS003_HUMAN,,-14.89,NA,-Inf
FIP1L1,IPI00008449,Q6UN15,FIP1_HUMAN,,-16.64,-Inf,-8.32
PRKAR2A,IPI00063234,P13861,KAP2_HUMAN,,-17.77,-8.89,-Inf
CKB,IPI00022977,P12277,KCRB_HUMAN,,-18.19,-16.03,NA
LTBP1,IPI00302679,Q14766,LTBP1_HUMAN,,-28,-14,-Inf
MRTO4,IPI00106491,Q9UKD2,MRT4_HUMAN,,-35.19,-17.6,-Inf
CLTC,IPI00024067,Q00610,CLH1_HUMAN,,-46.73,-23.36,-Inf
NUP205,IPI00472675,Q92621,NU205_HUMAN,,-Inf,-Inf,-Inf
PLEC1,IPI00398779,Q15149,PLEC_HUMAN,,-Inf,-Inf,-Inf
CLMN,IPI00101942,Q96JQ2,CLMN_HUMAN,,-Inf,-Inf,-Inf
SLC12A2,IPI00479477,P55011,S12A2_HUMAN,,-Inf,-Inf,-Inf
GOPC,IPI00186721,Q9HD26,GOPC_HUMAN,,-Inf,-Inf,-Inf
MKI67IP,IPI00154590,Q9BYG3,MK67I_HUMAN,,-Inf,-Inf,-Inf
LAMA3,IPI00377045,Q16787,LAMA3_HUMAN,,-Inf,-Inf,-Inf
LAMC2,IPI00220572,Q13753,LAMC2_HUMAN,,-Inf,-Inf,-Inf
PHLDB1,IPI00165619,Q86UU1,PHLB1_HUMAN,,-Inf,-Inf,-Inf
LGALS9,IPI00010477,O00182,LEG9_HUMAN,,-Inf,-Inf,-Inf
GIPC1,IPI00024705,O14908,GIPC1_HUMAN,,-Inf,-Inf,-Inf
CLTB,IPI00216472,P09497,CLCB_HUMAN,,-Inf,-Inf,-Inf
NUP133,IPI00291200,Q8WUM0,NU133_HUMAN,,-Inf,-Inf,-Inf
ERBB2,IPI00300384,P04626,ERBB2_HUMAN,,-Inf,-Inf,-Inf
NUP88,IPI00001738,Q99567,NUP88_HUMAN,,-Inf,-Inf,-Inf
ARS2,IPI00220038,Q9BXP5,SRRT_HUMAN,,-Inf,-Inf,-Inf
STAMBPL1,IPI00002208,Q96FJ0,STALP_HUMAN,,-Inf,-Inf,-Inf
SQRDL,IPI00009634,Q9Y6N5,SQRD_HUMAN,,-Inf,-Inf,-Inf
TJP2,IPI00003843,Q9UDY2,ZO2_HUMAN,,-Inf,-Inf,-Inf
NUP85,IPI00790530,Q9BW27,NUP85_HUMAN,,-Inf,-Inf,-Inf
TOMM70A,IPI00015602,O94826,TOM70_HUMAN,,-Inf,NA,NA
USH1C,IPI00218195,Q9Y6N9,USH1C_HUMAN,,-Inf,NA,NA
PWP2,IPI00300078,Q15269,PWP2_HUMAN,,-Inf,NA,NA
NUP160,IPI00221235,Q12769,NU160_HUMAN,,-Inf,NA,NA
AIFM1,IPI00000690,O95831,AIFM1_HUMAN,,-Inf,NA,NA
ARFGEF1,IPI00002188,Q9Y6D6,BIG1_HUMAN,,-Inf,NA,NA
TF,IPI00022463,P02787,TRFE_HUMAN,,NA,Inf,NA
COX5B,IPI00021785,P10606,COX5B_HUMAN,,NA,Inf,NA
MIF,IPI00293276,P14174,MIF_HUMAN,,NA,Inf,NA
PIN4,IPI00006658,Q9Y237,PIN4_HUMAN,,NA,Inf,NA
SVIL,IPI00412650,O95425,SVIL_HUMAN,,NA,Inf,NA
SRP14,IPI00293434,P37108,SRP14_HUMAN,,NA,Inf,NA
S100A9,IPI00027462,P06702,S10A9_HUMAN,,NA,Inf,NA
AZGP1,IPI00166729,P25311,ZA2G_HUMAN,,NA,Inf,NA
PSIP1,IPI00028122,O75475,PSIP1_HUMAN,,NA,Inf,NA
HIST1H1C,IPI00217465,P16403,H12_HUMAN,,NA,Inf,NA
TCOF1,IPI00165041,Q13428,TCOF_HUMAN,,NA,Inf,NA
RPL18,IPI00215719,Q07020,RL18_HUMAN,,NA,Inf,NA
CCDC6,IPI00000634,Q16204,CCDC6_HUMAN,,NA,Inf,NA
FKBP2,IPI00002535,P26885,FKBP2_HUMAN,,NA,Inf,NA
TTR,IPI00022432,P02766,TTHY_HUMAN,,NA,Inf,NA
DPYSL3,IPI00029111,Q14195,DPYL3_HUMAN,,NA,Inf,NA
C19orf10,IPI00056357,Q969H8,MYDGF_HUMAN,,NA,Inf,NA
PRDX4,IPI00011937,Q13162,PRDX4_HUMAN,,NA,Inf,NA
HMGB3,IPI00217477,O15347,HMGB3_HUMAN,,NA,18.05,NA
ARHGDIA,IPI00003815,P52565,GDIR1_HUMAN,,NA,13.89,NA
PRDX1,IPI00000874,Q06830,PRDX1_HUMAN,,NA,13.81,NA
HSPD1,IPI00784154,P10809,CH60_HUMAN,,NA,11.85,NA
DAZAP1,IPI00165230,Q96EP5,DAZP1_HUMAN,,NA,11.39,NA
TMPO,IPI00030131,P42167,LAP2B_HUMAN,,NA,11.24,NA
TCEA1,IPI00333215,P23193,TCEA1_HUMAN,,NA,10.56,NA
IGHM,IPI00472610,P01871,IGHM_HUMAN,,NA,9.11,NA
FUBP1,IPI00375441,Q96AE4,FUBP1_HUMAN,,NA,8.39,NA
LOC100133739-,IPI00426051,Q6MZU6,Q6MZU6_HUMAN,,NA,8.15,NA
S100A8,IPI00007047,P05109,S10A8_HUMAN,,NA,8.07,NA
ALDOA,IPI00465439,P04075,ALDOA_HUMAN,,NA,7.92,NA
CRIP2,IPI00006034,P52943,CRIP2_HUMAN,,NA,7.64,NA
TAGLN2,IPI00550363,P37802,TAGL2_HUMAN,,NA,6.93,NA
LUM,IPI00020986,P51884,LUM_HUMAN,,NA,6.91,NA
A1BG,IPI00022895,P04217,A1BG_HUMAN,,NA,6.44,NA
HP,IPI00478493,P00738,HPT_HUMAN,,NA,6.15,NA
H2AFY,IPI00059366,O75367,H2AY_HUMAN,,NA,5.99,NA
EIF4H;LOC653994,IPI00014263,Q15056,IF4H_HUMAN,,NA,5.97,NA
FH,IPI00296053,P07954,FUMH_HUMAN,,NA,5.97,NA
CYCS,IPI00465315,P99999,CYC_HUMAN,,NA,5.92,NA
HIST1H1D,IPI00217466,P16402,H13_HUMAN,,NA,5.67,NA
TXNDC4,IPI00401264,Q9BS26,ERP44_HUMAN,,NA,5.58,NA
PDLIM4,IPI00032206,P50479,PDLI4_HUMAN,,NA,5.26,NA
YBX1,IPI00031812,P67809,YBOX1_HUMAN,,NA,5.03,NA
HMGB2,IPI00219097,P26583,HMGB2_HUMAN,,NA,4.84,NA
RPS12,IPI00847579,P25398,RS12_HUMAN,,NA,4.65,NA
HMGB1,IPI00419258,P09429,HMGB1_HUMAN,,NA,4.47,NA
LGALS3BP,IPI00023673,Q08380,LG3BP_HUMAN,,NA,4.17,NA
LASP1,IPI00386803,Q14847,LASP1_HUMAN,,NA,3.82,NA
CSRP1,IPI00442073,P21291,CSRP1_HUMAN,,NA,3.65,NA
TAGLN,IPI00216138,Q01995,TAGL_HUMAN,,NA,3.65,NA
HNRPD,IPI00028888,Q14103,HNRPD_HUMAN,,NA,3.59,NA
ALB,IPI00745872,P02768,ALBU_HUMAN,,NA,3.37,NA
IGHM,IPI00549291,P01871,IGHM_HUMAN,,NA,3.28,NA
GSTP1,IPI00219757,P09211,GSTP1_HUMAN,,NA,3.15,NA
RPS19,IPI00215780,P39019,RS19_HUMAN,,NA,2.97,-Inf
HNRPDL,IPI00011274,O14979,HNRDL_HUMAN,,NA,2.77,NA
LGALS3,IPI00465431,P17931,LEG3_HUMAN,,NA,2.77,NA
HNRPAB,IPI00334587,Q99729,ROAA_HUMAN,,NA,2.26,NA
HSPG2,IPI00024284,P98160,PGBM_HUMAN,,NA,-1.48,NA
HSPA1A;HSPA1B,IPI00304925,P0DMV9,HS71B_HUMAN,,NA,-1.74,NA
HNRPH2,IPI00026230,P55795,HNRH2_HUMAN,,NA,-1.84,NA
NID2,IPI00028908,Q14112,NID2_HUMAN,,NA,-1.98,NA
HNRPH3,IPI00013877,P31942,HNRH3_HUMAN,,NA,-2.11,NA
DSP,IPI00013933,P15924,DESP_HUMAN,,NA,-3.15,NA
MUC2,IPI00027201,Q02817,MUC2_HUMAN,,NA,-3.5,NA
TUFM,IPI00027107,P49411,EFTU_HUMAN,,NA,-3.69,NA
PRPF31,IPI00292000,Q8WWY3,PRP31_HUMAN,,NA,-6.79,NA
TLN2,IPI00219299,Q9Y4G6,TLN2_HUMAN,,NA,-7.1,-Inf
TNKS1BP1,IPI00304589,Q9C0C2,TB182_HUMAN,,NA,-11.16,-Inf
SFRS1,IPI00218591,Q07955,SRSF1_HUMAN,,NA,-22.54,NA
WTAP,IPI00220302,Q15007,FL2D_HUMAN,,NA,-Inf,NA
SEC13,IPI00375370,P55735,SEC13_HUMAN,,NA,-Inf,NA
PCBP2,IPI00012066,Q15366,PCBP2_HUMAN,,NA,-Inf,NA
MAGOH,IPI00219306,P61326,MGN_HUMAN,,NA,-Inf,NA
THRAP3,IPI00104050,Q9Y2W1,TR150_HUMAN,,NA,-Inf,NA
MUC5AC,IPI00103397,P98088,MUC5A_HUMAN,,NA,NA,Inf
C6,IPI00009920,P13671,CO6_HUMAN,,NA,NA,Inf
ECM1,IPI00003351,Q16610,ECM1_HUMAN,,NA,NA,Inf
CTSG,IPI00028064,P08311,CATG_HUMAN,,NA,NA,Inf
F2,IPI00019568,P00734,THRB_HUMAN,,NA,NA,Inf
C8A,IPI00011252,P07357,CO8A_HUMAN,,NA,NA,Inf
SERPINF2,IPI00029863,P08697,A2AP_HUMAN,,NA,NA,Inf
APOE,IPI00021842,P02649,APOE_HUMAN,,NA,NA,Inf
C7,IPI00296608,P10643,CO7_HUMAN,,NA,NA,Inf
KNG1,IPI00032328,P01042,KNG1_HUMAN,,NA,NA,Inf
MUC5AC,IPI00455904,P98088,MUC5A_HUMAN,,NA,NA,Inf
MMRN1,IPI00012269,Q13201,MMRN1_HUMAN,,NA,NA,Inf
SERPIND1,IPI00292950,P05546,HEP2_HUMAN,,NA,NA,Inf
ZC3H11A,IPI00328306,O75152,ZC11A_HUMAN,,NA,NA,Inf
NOL7,IPI00007729,Q9UMY1,NOL7_HUMAN,,NA,NA,Inf
KRT4,IPI00290078,P19013,K2C4_HUMAN,,NA,NA,Inf
PROS1,IPI00294004,P07225,PROS_HUMAN,,NA,NA,Inf
MXRA5,IPI00012347,Q9NR99,MXRA5_HUMAN,,NA,NA,35.5
THBS1,IPI00296099,P07996,TSP1_HUMAN,,NA,NA,30.43
C3,IPI00164623,P01024,CO3_HUMAN,,NA,NA,26.85
MMP9,IPI00027509,P14780,MMP9_HUMAN,,NA,NA,15.39
HNRPUL2,IPI00456887,Q1KMD3,HNRL2_HUMAN,,NA,NA,12.69
VTN,IPI00298971,P04004,VTNC_HUMAN,,NA,NA,11.62
SERPINA3,IPI00550991,P01011,AACT_HUMAN,,NA,NA,10.45
COL5A3,IPI00018279,P25940,CO5A3_HUMAN,,NA,NA,10.14
FGA,IPI00021885,P02671,FIBA_HUMAN,,NA,NA,9.97
COL12A1,IPI00329573,Q99715,COCA1_HUMAN,,NA,NA,9.78
SERPINB1,IPI00027444,P30740,ILEU_HUMAN,,NA,NA,9.54
ITGA5,IPI00306604,P08648,ITA5_HUMAN,,NA,NA,8.87
FN1,IPI00414283,P02751,FINC_HUMAN,,NA,NA,8.24
SMARCA5,IPI00297211,O60264,SMCA5_HUMAN,,NA,NA,7.6
FBLN1,IPI00218803,P23142,FBLN1_HUMAN,,NA,NA,7.4
ITIH4,IPI00218192,Q14624,ITIH4_HUMAN,,NA,NA,7.03
COL5A2,IPI00739099,P05997,CO5A2_HUMAN,,NA,NA,6.59
FGG,IPI00021891,P02679,FIBG_HUMAN,,NA,NA,6.38
CLU,IPI00400826,P10909,CLUS_HUMAN,,NA,NA,6.31
FN1,IPI00022418,P02751,FINC_HUMAN,,NA,NA,5.82
FBLN2,IPI00023824,P98095,FBLN2_HUMAN,,NA,NA,4.42
COL5A1,IPI00477611,P20908,CO5A1_HUMAN,,NA,NA,4.19
KRT18,IPI00784347,P05783,K1C18_HUMAN,,NA,NA,3.77
FBN1,IPI00784458,P35555,FBN1_HUMAN,,NA,NA,3.64
C4B,IPI00418163,P0C0L5,CO4B_HUMAN,,NA,NA,3.61
TNC,IPI00031008,P24821,TENA_HUMAN,,NA,NA,3.6
ACTN1,IPI00759776,P12814,ACTN1_HUMAN,,NA,NA,2.72
HNRPU,IPI00479217,Q00839,HNRPU_HUMAN,,NA,NA,2.72
VIM,IPI00418471,P08670,VIME_HUMAN,,NA,NA,2.59
EEF1AL3,IPI00472724,Q5VTE0,EF1A3_HUMAN,,NA,NA,2.54
TNC,IPI00220213,P24821,TENA_HUMAN,,NA,NA,2.48
FGB,IPI00298497,P02675,FIBB_HUMAN,,NA,NA,2.38
HNRPC,IPI00216592,P07910,HNRPC_HUMAN,,NA,NA,2.01
SPTBN1,IPI00005614,Q01082,SPTB2_HUMAN,,NA,NA,1.59
ACTN4,IPI00013808,O43707,ACTN4_HUMAN,,NA,NA,1.45
KRT9,IPI00019359,P35527,K1C9_HUMAN,,NA,NA,-1.27
KRT2,IPI00021304,P35908,K22E_HUMAN,,NA,NA,-1.34
HNRPH1,IPI00013881,P31943,HNRH1_HUMAN,,NA,NA,-1.35
HNRPL,IPI00027834,P14866,HNRPL_HUMAN,,NA,NA,-1.49
LAMC1,IPI00298281,P11047,LAMC1_HUMAN,,NA,NA,-1.53
SIAHBP1,IPI00100716,Q9UHX1,PUF60_HUMAN,,NA,NA,-1.77
FUS,IPI00221354,P35637,FUS_HUMAN,,NA,NA,-1.82
EWSR1,IPI00009841,Q01844,EWS_HUMAN,,NA,NA,-1.84
PSPC1,IPI00103525,Q8WXF1,PSPC1_HUMAN,,NA,NA,-1.87
ACTC1,IPI00023006,P68032,ACTC_HUMAN,,NA,NA,-2.1
HSPB1,IPI00025512,P04792,HSPB1_HUMAN,,NA,NA,-2.2
IGHA1,IPI00386879,P01876,IGHA1_HUMAN,,NA,NA,-2.54
DCD,IPI00027547,P81605,DCD_HUMAN,,NA,NA,-2.85
SF3A1,IPI00017451,Q15459,SF3A1_HUMAN,,NA,NA,-2.88
CIRBP,IPI00180954,Q14011,CIRBP_HUMAN,,NA,NA,-3.14
EIF1AX,IPI00232533,P47813,IF1AX_HUMAN,,NA,NA,-3.6
TGM2,IPI00294578,P21980,TGM2_HUMAN,,NA,NA,-3.6
KHDRBS1,IPI00008575,Q07666,KHDR1_HUMAN,,NA,NA,-3.61
TMOD3,IPI00005087,Q9NYL9,TMOD3_HUMAN,,NA,NA,-4.09
NCBP2,IPI00183500,P52298,NCBP2_HUMAN,,NA,NA,-5.62
PIGR,IPI00004573,P01833,PIGR_HUMAN,,NA,NA,-6.04
TUBB2C,IPI00007752,P68371,TBB4B_HUMAN,,NA,NA,-6.35
YLPM1,IPI00165434,P49750,YLPM1_HUMAN,,NA,NA,-6.43
LCN2,IPI00299547,P80188,NGAL_HUMAN,,NA,NA,-6.97
OLFM4,IPI00022255,Q6UX06,OLFM4_HUMAN,,NA,NA,-7.13
SUB1,IPI00221222,P53999,TCP4_HUMAN,,NA,NA,-7.47
NEBL,IPI00418240,O76041,NEBL_HUMAN,,NA,NA,-8.21
SSBP1,IPI00029744,Q04837,SSBP_HUMAN,,NA,NA,-9.84
KRT20,IPI00021298,P35900,K1C20_HUMAN,,NA,NA,-10.12
RBM3,IPI00024320,P98179,RBM3_HUMAN,,NA,NA,-11.92
CLTA,IPI00014587,P09496,CLCA_HUMAN,,NA,NA,-11.92
CBX1,IPI00010320,P83916,CBX1_HUMAN,,NA,NA,-12.14
"none (DKFZp686L19235)",IPI00784950,Q6MZV6,Q6MZV6_HUMAN,,NA,NA,-17.09
NES,IPI00010800,P48681,NEST_HUMAN,,NA,NA,-22.93
CNN1,IPI00021264,P51911,CNN1_HUMAN,,NA,NA,-57
DDX17,IPI00023785,Q92841,DDX17_HUMAN,,NA,NA,-Inf
EFEMP1,IPI00029658,Q12805,FBLN3_HUMAN,,NA,NA,-Inf
IGJ,IPI00178926,P01591,IGJ_HUMAN,,NA,NA,-Inf
PDZD11,IPI00550841,Q5EBL8,PDZ11_HUMAN,,NA,NA,-Inf
PRDX3,IPI00024919,P30048,PRDX3_HUMAN,,NA,NA,-Inf
DDX42,IPI00409671,Q86XP3,DDX42_HUMAN,,NA,NA,-Inf
ADD1,IPI00019901,P35611,ADDA_HUMAN,,NA,NA,-Inf
IGHA1,IPI00430842,P01876,IGHA1_HUMAN,,NA,NA,-Inf
C11orf31,IPI00218054,Q8IZQ5,SELH_HUMAN,,NA,NA,-Inf
TOP1,IPI00413611,P11387,TOP1_HUMAN,,NA,NA,-Inf
MFAP2,IPI00022621,P55001,MFAP2_HUMAN,,NA,NA,-Inf
DEK,IPI00020021,P35659,DEK_HUMAN,,NA,NA,-Inf
VCP,IPI00022774,P55072,TERA_HUMAN,,NA,NA,-Inf
CLINT1,IPI00291930,Q14677,EPN4_HUMAN,,NA,NA,-Inf
NUP153,IPI00292059,P49790,NU153_HUMAN,,NA,NA,-Inf
PLEKHA6,IPI00007248,Q9Y2H5,PKHA6_HUMAN,,NA,NA,-Inf
CALM1,IPI00075248,P62158,CALM_HUMAN,,NA,NA,-Inf
UBAP2,IPI00171127,Q5T6F2,UBAP2_HUMAN,,NA,NA,-Inf
ARPC2,IPI00005161,O15144,ARPC2_HUMAN,,NA,NA,-Inf
IGKV1-5,IPI00430820,P01602,KV110_HUMAN,,NA,NA,-Inf
AGR3,IPI00152409,Q8TD06,AGR3_HUMAN,,NA,NA,-Inf
PHB,IPI00017334,P35232,PHB_HUMAN,,NA,NA,-Inf
LAD1,IPI00386700,O00515,LAD1_HUMAN,,NA,NA,-Inf
MECP2,IPI00418234,P51608,MECP2_HUMAN,,NA,NA,-Inf
CHMP5,IPI00100796,Q9NZZ3,CHMP5_HUMAN,,NA,NA,-Inf
NIP7,IPI00007175,Q9Y221,NIP7_HUMAN,,NA,NA,-Inf
CDH17,IPI00290089,Q12864,CAD17_HUMAN,,NA,NA,-Inf
ITGA1,IPI00472202,P56199,ITA1_HUMAN,,NA,NA,-Inf
DHX15,IPI00396435,O43143,DHX15_HUMAN,,NA,NA,-Inf
RBM35A,IPI00184262,Q6NXG1,ESRP1_HUMAN,,NA,NA,-Inf
SYNPO2,IPI00173549,Q9UMS6,SYNP2_HUMAN,,NA,NA,-Inf
C20orf77,IPI00009659,Q9NQG5,RPR1B_HUMAN,,NA,NA,-Inf
AIM1,IPI00294840,Q9Y4K1,AIM1_HUMAN,,NA,NA,-Inf
HADHA,IPI00031522,P40939,ECHA_HUMAN,,NA,NA,-Inf
TBL3,IPI00383410,Q12788,TBL3_HUMAN,,NA,NA,-Inf
NOLA1,IPI00302176,Q9NY12,GAR1_HUMAN,,NA,NA,-Inf
DPT,IPI00292130,Q07507,DERM_HUMAN,,NA,NA,-Inf
