"dataset","description","tags","n1","n2","ZC.down","ZC.up","ZC.diff","nH2O_rQEC.down","nH2O_rQEC.up","nH2O_rQEC.diff","nO2_biosynth.down","nO2_biosynth.up","nO2_biosynth.diff","nH2O_biosynth.down","nH2O_biosynth.up","nH2O_biosynth.diff","nAA.down","nAA.up","nAA.diff","PS_TPPG17.down","PS_TPPG17.up","PS_TPPG17.diff","PS_LMM16.down","PS_LMM16.up","PS_LMM16.diff"
CLY+18_proteome,"HCT116 proteome",,108,127,-0.1111,-0.1169,-0.0058,0.0133,0.017,0.0037,-1.6154,-1.6055,0.0099,0.2576,0.2628,0.0053,573,456,-117,3.7629,4.4,0.6371,4.6729,4.7857,0.1128
GBH+18,"SW620 colorectal cancer cells",cancer,237,67,-0.1403,-0.1316,0.0087,0.0094,0.0141,0.0047,-1.6914,-1.6875,0.0039,0.324,0.2987,-0.0254,376,364,-12,3.4587,3.4138,-0.0449,4.4661,4.5484,0.0823
LKK+18,"hUCB mesehnchymal stem cells",,44,62,-0.1547,-0.1464,0.0083,0.002,0.0364,0.0345,-1.6796,-1.737,-0.0574,0.3538,0.3431,-0.0107,338.5,403.5,65,2.075,2.3214,0.2464,2.8864,2.9355,0.0491
WTG+18,"adipose-derived mesehnchymal stem cells",,163,57,-0.1538,-0.1447,0.009,0.0384,0.0118,-0.0266,-1.6898,-1.6878,0.002,0.3373,0.3274,-0.0099,379,428,49,1.8824,3.8085,1.9262,3.3611,4.1176,0.7565
CSK+19,"HeLa cervical cancer cells",cancer,36,45,-0.1512,-0.1475,0.0037,0.0325,0.0333,9e-04,-1.7044,-1.6865,0.0179,0.3375,0.3535,0.016,428,434,6,1.6667,2.9048,1.2381,2.7222,3.2444,0.5222
KAN+19_proteome,"cancer-associated fibroblasts proteome",cancer,221,124,-0.1541,-0.1343,0.0198,0.0193,0.0148,-0.0045,-1.7104,-1.6835,0.0269,0.3287,0.3148,-0.0139,346,459.5,113.5,2.7701,4.1215,1.3514,3.9202,4.4649,0.5447
BCMS20,"MCF-7 breast cancer cells",cancer,153,161,-0.1392,-0.1202,0.019,0.0411,0.0123,-0.0287,-1.7125,-1.6141,0.0985,0.314,0.2754,-0.0386,440,248,-192,2.55,3.0753,0.5253,3.7647,3.9684,0.2036
RVN+20_DMSO,"PC-3 prostate cancer cells in DMSO",cancer,116,86,-0.0926,-0.1329,-0.0403,0.0431,0.021,-0.0221,-1.5975,-1.6881,-0.0907,0.3036,0.3093,0.0056,225.5,455,229.5,3.4369,2.7273,-0.7096,4.3739,3.7674,-0.6065
RVN+20_NO.sul,"PC-3 prostate cancer cells in NO.sul",,28,33,-0.1257,-0.1405,-0.0148,0.0315,0.0026,-0.0289,-1.6906,-1.7071,-0.0165,0.3132,0.3418,0.0286,203,450,247,2.6667,3.8621,1.1954,3.8929,4.1818,0.289
RVN+20_sul,"PC-3 prostate cancer cells in sul",,17,54,-0.0902,-0.1368,-0.0465,0.0474,0.0283,-0.0191,-1.5651,-1.7122,-0.1471,0.2232,0.3343,0.1111,430,227,-203,3.4,3.32,-0.08,4.3529,4.2778,-0.0752
RVN+20_DMSO.4Gy,"PC-3 prostate cancer cells in DMSO.4Gy",,24,38,-0.0934,-0.1138,-0.0205,0.0403,0.0333,-0.007,-1.6178,-1.6418,-0.024,0.2512,0.2868,0.0357,356.5,396.5,40,4.1111,3.8,-0.3111,4.0833,4.0526,-0.0307
RVN+20_NO.sul.4Gy,"PC-3 prostate cancer cells in NO.sul.4Gy",,21,52,-0.1556,-0.11,0.0457,0.0023,0.0203,0.018,-1.6858,-1.6132,0.0726,0.349,0.284,-0.065,317,404.5,87.5,2.55,3.6522,1.1022,3.8571,4.2885,0.4313
RVN+20_sul.4Gy,"PC-3 prostate cancer cells in sul.4Gy",,34,25,-0.127,-0.112,0.015,0.0209,-0.0234,-0.0443,-1.6819,-1.5301,0.1518,0.312,0.2057,-0.1064,391.5,338,-53.5,3.129,4.1,0.971,4.3235,4.52,0.1965
SPJ+20_POS,"canine POS cells",cancer,43,102,-0.1392,-0.1355,0.0038,0.0302,0.0205,-0.0096,-1.6777,-1.6627,0.015,0.3271,0.2902,-0.0369,539,508.5,-30.5,NA,NA,NA,NA,NA,NA
SPJ+20_HMPOS,"canine HMPOS cells",cancer,62,69,-0.1391,-0.1344,0.0047,0.0301,0.0175,-0.0126,-1.6757,-1.6705,0.0052,0.3082,0.2919,-0.0163,542.5,468,-74.5,NA,NA,NA,NA,NA,NA
