Experiment,UniProtKB,Name,t010/t000,t030/t000,t060/t000,t120/t000
prot-membrane,P37253,ilvC,0.975,0.787,0.665,0.707
prot-membrane,P23446,flgG,-0.437,-0.417,-1.243,-1.37
prot-membrane,P21471,rpsJ,1.207,1.207,1.267,1.42
prot-membrane,P71069,yukB,-1.023,-0.487,-0.18,-0.293
prot-membrane,Q9KWZ1,nadA,1.182,1.83,1.592,1.678
prot-membrane,P37476,ftsH,-0.503,-0.46,-0.307,-0.303
prot-membrane,P40924,pgk,0.997,0.833,0.62,0.667
prot-membrane,P54375,sodA,0.68,1.21,0.93,1.11
prot-membrane,O06967,yvcC,-0.65,-0.593,-0.853,-0.843
prot-membrane,P50865,pdaB,-2.273,-3.503,0.23,-0.71
prot-membrane,P20277,rplQ,0.617,1.077,0.973,0.903
prot-membrane,P42971,pbpC,-0.702,-0.777,-0.717,-0.857
prot-membrane,P08065,sdhA,-0.665,-0.62,-0.457,-0.453
prot-membrane,P96647,yddJ,-0.747,-0.657,-0.39,0.007
prot-membrane,P21465,rpsC,0.715,0.975,1.295,1.642
prot-membrane,O34431,yloB,-0.892,-4.227,0.383,-0.557
prot-membrane,P35164,resE,-0.483,-0.373,-0.27,-0.32
prot-membrane,O06745,yitJ,0.167,0.047,1.597,1.793
prot-membrane,P80877,metE,0.957,1.02,1.847,1.628
prot-membrane,P71070,yukC,-0.743,-0.36,-0.21,-0.333
prot-membrane,P21883,pdhC,-0.89,-0.97,-1.053,-0.583
prot-membrane,P45694,tkt,0.953,0.627,0.583,0.838
prot-membrane,P02968,hag,-0.08,-0.03,-0.993,-1.003
prot-membrane,O32259,yvbY,0.958,1.2,1.435,1.225
prot-membrane,P35161,resB,-0.005,-0.375,-0.08,-0.3
prot-membrane,O34992,opuCA,0.193,0.527,0.79,0.947
prot-membrane,P37535,yaaN,0.93,1.16,1.613,1.397
prot-membrane,P12047,purB,1.665,0.91,0.65,0.51
transcriptomics,O07536,yhaU,1.65,5.613,4.781,3.152
transcriptomics,P96595,ydaT,3.808,5.682,4.269,3.914
transcriptomics,P26907,gsiB,2.875,5.299,4.365,3.354
transcriptomics,O32211,yvgO,1.69,4.295,3.32,2.477
transcriptomics,O34796,yvkC,1.37,2.395,1.301,1.491
transcriptomics,O07534,yhaS,2.103,6.354,5.302,3.367
transcriptomics,O32161,yurT,1.117,2.854,1.813,1.3
transcriptomics,P80242,ohrB,4.554,6.421,4.815,4.879
transcriptomics,O34338,mntB,2.151,3.649,2.29,2.503
transcriptomics,P80876,yfkM,4.331,6.047,4.95,4.113
transcriptomics,P37504,yyaT,0.758,2.643,1.014,0.923
transcriptomics,P23477,addB,1.764,3.393,2.323,1.978
transcriptomics,O34881,ytvB,1.186,2.432,1.106,1.031
transcriptomics,P80873,ydaD,4.454,6.547,5.132,4.75
transcriptomics,Q45603,yycS,0.085,0.58,1.089,1.357
transcriptomics,P80886,sucC,-0.476,-3.136,-0.957,-1.118
transcriptomics,O07532,lytF,-0.796,-3.062,-2.989,-2.059
transcriptomics,P54389,ypiA,0.245,1.545,0.275,-0.492
transcriptomics,O07535,yhaT,1.667,5.397,4.75,2.992
transcriptomics,P80238,ydaG,3.113,5.383,3.932,3.941
transcriptomics,P54465,yqeZ,1.067,3.737,2.732,0.766
transcriptomics,P20692,tyrA,-2.933,-4.009,-2.933,-1.887
transcriptomics,O31601,yjbC,4.045,4.07,2.61,2.331
transcriptomics,P39606,ywcH,0.438,2.117,2.197,1.155
transcriptomics,P37486,yybR,0.751,3.627,1.11,0.744
transcriptomics,O05229,mrpD,0.414,2.446,1.559,1.345
transcriptomics,P96675,ydeR,-0.201,0.662,0.368,3.023
transcriptomics,P42248,ycbP,3.773,5.264,2.759,2.787
transcriptomics,P23447,fliF,-1.054,-4.394,-4.551,-2.506
transcriptomics,P54597,yhcM,1.548,2.862,1.826,1.846
transcriptomics,O06493,opuE,2.491,3.994,3.126,2.561
transcriptomics,O07560,sipV,-0.17,0.934,0.41,0.159
transcriptomics,P96594,ydaS,2.548,4.986,2.788,2.652
transcriptomics,P71068,yukA,-0.116,-1.623,-0.769,0.004
transcriptomics,P37466,veg,2.313,3.153,2.412,2.627
transcriptomics,O07609,yhfK,0.245,1.632,1.591,0.659
transcriptomics,P71015,yuaC,1.513,2.784,0.813,0.544
transcriptomics,P42244,ycbL,-1.231,-1.452,-1.07,-1.145
transcriptomics,O34458,yjfC,-0.065,1.662,-0.006,-0.142
transcriptomics,P94428,ycnH,0.851,2.973,2.305,1.448
transcriptomics,O32076,yuaG,3.485,5.04,4.083,4.035
transcriptomics,O31994,yolA,-0.989,-3.289,-2.855,-2.13
transcriptomics,O31786,ymzB,0.042,1.684,0.685,0.4
transcriptomics,P37532,yaaI,2.181,3.506,1.495,1.642
transcriptomics,P80241,yflT,3.919,6.436,5.007,4.393
transcriptomics,O31578,yfhJ,1.051,3.124,1.445,0.522
transcriptomics,P80875,yceD,1.04,3.355,2.046,1.736
transcriptomics,P39667,yrxA,-1.284,-2.662,-1.761,-0.808
transcriptomics,Q45461,opuBB,1.707,2.811,2.187,2.235
transcriptomics,O05259,mrpB,0.719,2.659,1.677,1.208
transcriptomics,O34960,yjgB,2.481,5.929,2.734,2.525
transcriptomics,O32212,nhaK,1.275,4.105,2.202,1.186
transcriptomics,P70962,rapB,-0.563,-1.229,-1.682,-1.298
transcriptomics,O05408,yrpG,0.727,3.038,0.497,0.842
transcriptomics,P39807,yvyF,-0.055,-1.33,-1.479,-1.278
transcriptomics,P71041,ywnF,0.255,2.621,1.216,0.333
transcriptomics,O34992,opuCA,2.455,3.365,2.387,2.185
transcriptomics,O32247,yvbJ,-1.065,-2.592,-2.748,-2.17
transcriptomics,O34897,ykuT,1.571,3.47,0.954,0.788
transcriptomics,P71000,ywhH,-0.615,-1.89,-1.407,-0.98
transcriptomics,O32243,opuCC,2.177,3.914,2.479,2.063
transcriptomics,O34612,yjlB,2.379,3.931,2.171,2.162
transcriptomics,O07548,yheG,-0.638,-1.249,-0.76,-0.361
transcriptomics,P37874,ygxB,0.264,4.797,1.286,1.097
transcriptomics,O32084,yubD,0.966,1.549,0.902,0.564
transcriptomics,P53557,bioB,-1.471,-3.472,-1.032,-0.33
transcriptomics,P54576,mcpC,-0.093,-2.236,-2.381,-2.04
transcriptomics,O05390,csbX,0.817,2.865,0.758,0.681
transcriptomics,O34516,yocB,1.81,4.226,3.057,2.204
transcriptomics,P70964,csbD,2.335,3.457,1.492,1.423
transcriptomics,O34905,yflI,0.414,1.674,0.577,0.498
transcriptomics,P94591,ywpI,1.979,3.947,2.239,1.596
transcriptomics,P54491,yqgN,-0.577,-2.265,-1.083,-1.034
transcriptomics,P37480,yycD,2.123,4.818,3.063,2.483
transcriptomics,O31993,yolB,-0.675,-2.999,-2.857,-2.167
transcriptomics,P37958,mecA,1.91,1.947,1.334,0.925
transcriptomics,P71016,gbsA,3.075,4.581,2.986,3.312
transcriptomics,P54942,yxeC,-2.474,-2.785,-1.885,-1.352
transcriptomics,P71050,yveK,-1.833,-2.772,-3.073,-3.191
transcriptomics,Q99163,xhlB,0.4,-0.407,-1.185,-1.192
transcriptomics,O07575,yhdF,1.279,4.24,1.425,1.533
transcriptomics,P96578,ydaE,4.204,6.529,5.369,4.75
transcriptomics,P54467,yqfB,0.87,3.232,2.873,1.237
transcriptomics,P25499,hrcA,1.306,2.644,1.789,1.482
transcriptomics,O31659,ykzE,2.09,2.634,1.432,2.069
transcriptomics,Q45585,sigW,-0.006,1.721,2.488,0.425
transcriptomics,O31441,ybyB,4.856,5.707,3.797,3.771
transcriptomics,P40331,yisR,0.571,2.373,0.959,0.955
transcriptomics,P42108,yxaI,-1.408,-2.53,-2.462,-2.031
transcriptomics,P80880,trxB,0.267,2.933,1.108,0.795
transcriptomics,O31679,ykvN,0.15,2.409,0.467,0.325
transcriptomics,P96715,ywqC,-1.36,-2.631,-1.429,-1.312
transcriptomics,P39605,nfrA,0.429,1.873,1.633,0.765
transcriptomics,P18157,glpK,2.416,3.138,2.764,2.764
transcriptomics,P50837,yprB,1.438,3.055,1.868,1.704
transcriptomics,P39771,purT,-0.791,-2.219,-1.151,-0.361
transcriptomics,P08065,sdhA,0.004,-0.827,0.022,0.344
transcriptomics,O31749,pyrH,-0.919,-2.678,-1.607,-1.516
transcriptomics,P55185,yxkA,0.776,2.991,0.787,0.338
transcriptomics,P42101,yxaB,1.608,3.899,2.102,1.711
transcriptomics,P71017,gbsB,2.573,4.445,3.296,3.338
transcriptomics,P39632,yweA,-0.472,-2.477,-2.136,-1.097
transcriptomics,O07079,yrdA,-1.957,-1.994,-2.683,-2.883
transcriptomics,O32149,pucF,0.922,-0.55,1.185,1.021
transcriptomics,P54466,yqfA,1.301,3.722,2.848,1.932
transcriptomics,P96659,ydeB,1.052,3.395,1.21,1.344
transcriptomics,O06006,yraA,0.314,3.436,1.987,0.443
transcriptomics,P18158,glpD,3.263,3.69,2.874,3.293
transcriptomics,P96591,ydaP,2.57,4.031,2.635,2.561
transcriptomics,O34878,opuCB,2.177,3.384,2.549,1.702
transcriptomics,O07605,yhfG,-0.553,-1.433,-1.451,-0.885
transcriptomics,O32115,yutK,1.51,3.685,0.721,0.77
transcriptomics,Q9KWZ1,nadA,0.529,-1.263,-0.753,0.501
transcriptomics,P32081,cspB,-1.034,-1.705,-2.082,-2.396
transcriptomics,P46921,opuAB,1.464,2.113,2.658,1.673
transcriptomics,P54948,yxeI,-0.044,0.861,1.685,0.603
transcriptomics,O32077,yuaF,4.447,5.989,4.668,4.317
transcriptomics,P54525,yqiI,0.3,1.186,6.2,5.224
transcriptomics,O34833,yceH,0.947,3.07,2.092,1.528
transcriptomics,P40398,yhxD,0.298,1.92,1.042,0.775
transcriptomics,P81101,frr,-0.707,-2.448,-1.209,-0.843
transcriptomics,O34911,ykoF,-1.483,-2.801,-1.804,-1.336
transcriptomics,P39909,bltD,2.994,4.497,2.227,2.586
transcriptomics,P39775,opuBD,2.378,3.388,2.038,2.139
transcriptomics,P94588,ywpF,1.127,1.978,1.155,0.288
transcriptomics,P39803,yitT,1.712,3.28,2.111,1.971
transcriptomics,P39752,flhO,-0.623,-2.261,-2.036,-1.482
transcriptomics,O06715,yisB,0.472,1.636,1.667,1.38
transcriptomics,P39785,xtmA,0.261,-0.603,-1.014,-1.04
transcriptomics,O32097,yuzF,1.119,2.869,1.461,1.392
transcriptomics,P81100,yceC,1.665,3.686,2.774,1.94
transcriptomics,O31817,fosB,0.858,2.794,2.906,0.732
transcriptomics,O32001,yokF,-1.791,-2.822,-2.212,-2.292
transcriptomics,O34703,yjoB,1.217,4.031,2.518,1.416
transcriptomics,P39737,yvyC,-2.2,-3.208,-3.621,-2.731
transcriptomics,O05228,mrpF,0.671,2.639,1.547,1.43
transcriptomics,P71031,sspO,1.457,2.439,1.313,1.408
transcriptomics,P94390,ycgM,-0.126,-0.683,0.069,1.883
transcriptomics,O31429,skfG,-0.321,-2.392,-2.63,-1.852
transcriptomics,P37505,yyaS,0.179,1.595,0.577,0.541
transcriptomics,P50835,yppG,0.231,0.588,1.319,1.717
transcriptomics,Q07867,ftsL,-1.767,-2.706,-1.361,-1.837
transcriptomics,O07533,yhaR,0.778,1.3,1.056,1.104
transcriptomics,P96593,mntH,1.282,3.042,1.917,0.898
transcriptomics,O32075,yuaI,3.113,5.446,4.138,4.112
transcriptomics,O07005,yveG,0.871,2.155,1.849,1.128
transcriptomics,P70966,ywmE,2.486,3.908,1.227,1.475
transcriptomics,O05219,ywrE,1.494,4.299,2.231,0.882
transcriptomics,Q45514,sapB,1.584,2.972,2.169,1.545
transcriptomics,O31928,yopJ,-0.146,-1.292,-1.413,-0.885
transcriptomics,P54331,xkdK,0.442,-0.198,-1.133,-1.421
transcriptomics,P39842,bltR,0.424,2.361,0.81,0.572
transcriptomics,Q45588,rsiW,0.308,1.568,2.65,1.032
transcriptomics,P75030,ureA,0.242,0.238,-0.726,0.207
transcriptomics,O34385,mntA,2.669,4.5,2.938,2.397
transcriptomics,O34632,sirB,0.263,-1.033,-0.193,0.347
transcriptomics,P54535,artP,-1.248,-3.213,-2.717,-2.174
transcriptomics,P94352,yxjI,2.428,4.467,3.101,1.969
transcriptomics,O32244,yvbG,1.247,2.417,3.943,2.071
transcriptomics,P49778,efp,-0.847,-2.381,-0.976,-1.225
transcriptomics,O31580,yfhL,2.779,4.043,2.554,2.443
transcriptomics,O31567,yfiY,-0.84,-2.619,-1.855,-1.566
transcriptomics,O35007,yvrP,-1.359,-2.612,-1.851,-1.557
transcriptomics,P39640,bacC,-0.638,-2.838,-1.71,-1.383
transcriptomics,P40762,yvmB,0.936,3.178,1.542,1.025
transcriptomics,P37485,yybS,1.253,2.581,1.556,0.834
transcriptomics,O07509,proJ,0.932,2.653,3.158,2.835
transcriptomics,P46331,yxbG,4.501,5.801,4.059,4.276
transcriptomics,P71079,ygaA,-0.46,-1.343,-0.253,-0.189
transcriptomics,O32010,ypzE,-1.084,-0.464,-1.221,-1.194
transcriptomics,O06743,yitH,-0.486,-1.425,-0.284,-0.234
transcriptomics,O35024,mntC,2.29,4.114,2.635,2.139
transcriptomics,P54498,yqgU,-1.999,-1.652,-0.784,-0.741
transcriptomics,P45928,yqbL,2.034,3.802,1.454,1.657
transcriptomics,O34384,yceE,1.222,3.172,2.155,1.776
transcriptomics,P17731,hisC,-0.75,-1.728,-1.711,-0.986
transcriptomics,O34306,yflH,0.808,2.4,0.828,0.89
transcriptomics,P39910,slp,2.315,0.958,1.144,0.942
transcriptomics,P37506,yyaR,-1.308,-0.001,-0.364,-0.428
transcriptomics,P50850,ylxY,-1.795,-2.262,-1.503,-1.528
transcriptomics,P45740,thiC,-0.679,-2.559,-1.97,-0.768
transcriptomics,P42975,birA,-0.002,-1.871,-0.382,-0.126
transcriptomics,P37815,atpE,-0.883,-2.88,-1.352,-0.873
transcriptomics,P54428,yrkA,5.243,6.406,5.004,4.888
transcriptomics,P25150,ywaE,0.446,2.036,1.456,1.382
transcriptomics,O32079,yuaD,0.569,1.454,1.219,1.205
transcriptomics,Q02113,lytB,-0.043,-1.988,-2.384,-0.721
transcriptomics,O06979,yvcQ,-1.001,-1.897,-1.212,-1.152
transcriptomics,P32959,pbpE,0.439,1.7,2.404,0.597
transcriptomics,P31105,cheR,-1.948,-3.13,-1.588,-1.611
transcriptomics,P37569,yacH,0.459,2.722,-0.089,0.416
transcriptomics,O07552,nhaX,4.603,6.192,3.897,4.938
transcriptomics,O05218,ywrD,0.442,2.651,0.529,0.61
transcriptomics,O31657,htpX,1.7,3.945,2.657,2.017
transcriptomics,P96729,ywsB,5.173,6.072,3.896,4.131
transcriptomics,O31426,skfD,-1.334,-4.302,-3.985,-2.997
transcriptomics,P32730,ylxP,1.566,2.311,1.346,1.012
transcriptomics,O35042,yocC,-0.193,-0.38,1.577,1.081
transcriptomics,P46922,opuAC,1.187,1.862,2.266,1.37
transcriptomics,O05260,mrpC,0.579,2.611,1.619,1.425
transcriptomics,O34689,ykcA,0.02,1.787,1.195,0.106
transcriptomics,O32057,yrzF,0.678,2.508,2.173,0.563
transcriptomics,P42297,yxiE,0.647,1.904,1.829,1.68
transcriptomics,P54423,wprA,-0.344,-2.281,-1.292,-0.551
transcriptomics,P54598,yhcN,0.973,1.654,1.596,1.743
transcriptomics,P71054,yveO,-1.868,-2.804,-2.995,-3.064
transcriptomics,O34724,yceJ,-0.998,-0.945,-1.386,-1.315
transcriptomics,O31813,yndJ,-1.228,-1.517,-0.915,-0.704
transcriptomics,P12013,gntZ,0.568,1.916,2.296,1.4
transcriptomics,P39642,bacE,-1.143,-2.302,-2.006,-1.373
transcriptomics,O07621,hemAT,-0.179,-1.56,-1.53,-1.423
transcriptomics,P40948,corA,4.925,4.715,1.932,2.262
transcriptomics,Q04797,asd,-0.926,-2.386,-1.286,-0.932
transcriptomics,O32204,yvsH,-0.531,-0.994,-1.699,-1.574
transcriptomics,P54378,gcvT,-0.051,-1.096,-0.916,0.035
transcriptomics,O07516,yhaH,-0.213,1.192,-0.046,-0.101
transcriptomics,P94356,yxkC,-0.603,-3.208,-3.355,-1.936
transcriptomics,O34484,yflG,0.243,1.396,0.408,0.438
transcriptomics,P28670,yoxC,4.81,6.025,4.216,4.257
transcriptomics,P39593,thiM,0.376,0.635,0.725,0.599
transcriptomics,O07518,yhaJ,-2.431,-1.797,-1.438,-1.629
transcriptomics,O31635,yjcM,-1.401,-2.901,-2.374,-1.312
transcriptomics,O06728,yisP,0.899,3.04,1.257,1.282
transcriptomics,O32103,yuiH,0.007,0.853,1.208,0.633
transcriptomics,P42407,ytdA,-0.034,0.949,0.519,1.595
transcriptomics,P42061,appA,-0.636,-3.356,-1.965,-1.452
transcriptomics,O05261,yulB,0.691,1.35,0.861,1.213
transcriptomics,P39075,bmrR,0.953,2.375,1.61,1.237
transcriptomics,P71001,phrF,-1.02,-2.38,-1.452,-1.189
transcriptomics,O07080,yrdB,-2.476,-2.757,-1.716,-2.181
transcriptomics,P54325,xkdE,0.502,-0.032,-0.702,-0.622
transcriptomics,O34849,yerD,3.555,4.152,1.91,2.816
transcriptomics,P40779,ytxG,2.795,2.671,0.982,1.176
transcriptomics,P96611,ydbP,0.216,1.161,1.057,-0.065
transcriptomics,O05400,yrhH,0.622,1.822,1.203,-0.62
transcriptomics,P39805,licT,-0.54,-0.828,-0.74,-0.122
transcriptomics,P32960,racX,0.357,1.605,2.296,0.758
transcriptomics,O34733,ydjJ,3.356,4.256,2.231,2.909
transcriptomics,P42111,yxaL/yxaK,-0.334,-1.64,-1.483,-1.099
transcriptomics,O34436,pit,-1.153,-1.618,-0.835,-1.023
transcriptomics,P23971,menE,0.567,1.545,1.18,0.916
transcriptomics,P46208,htpG,-0.182,-2.047,-0.519,-0.455
transcriptomics,O34968,yerB,-0.643,-2.013,-1.287,-0.67
transcriptomics,O31929,yopI,-0.541,-1.749,-1.699,-1.294
transcriptomics,P96617,ydcA,-0.054,1.115,0.486,-0.028
transcriptomics,P54429,yrkB,-0.04,1.206,0.433,-0.173
transcriptomics,P80862,serC,-1.224,-2.618,-1.508,-1.022
transcriptomics,O07940,yisQ,0.933,2.703,1.138,1.302
transcriptomics,P94353,yxjJ,3.131,4.267,1.92,1.885
transcriptomics,P96716,ywqD,-1.556,-2.835,-1.803,-2.287
transcriptomics,P45707,yneE,-1.874,-3.906,-3.173,-3.348
transcriptomics,O34314,ytlC,0.996,2.264,1.323,1.837
transcriptomics,P54529,yqiR,-0.924,-2.267,-1.131,-0.671
transcriptomics,P71088,ygaI,0.271,1.592,1.33,-0.042
transcriptomics,O34643,yvkB,0.702,1.34,1.018,1.048
transcriptomics,P18186,argF,0.459,-0.843,-0.894,0.45
transcriptomics,O32291,yxnA,3.675,4.978,3.265,3.719
transcriptomics,P39608,ywcJ,-0.576,-2.186,-2.152,-1.306
transcriptomics,P42062,appB,-0.338,-2.129,-1.532,-1.094
transcriptomics,P96673,ydeP,0.308,2.4,1.171,1.098
transcriptomics,O31427,skfE,-0.841,-3.701,-3.243,-2.2
transcriptomics,P96737,capC,2.609,3.653,2.566,2.747
transcriptomics,P96575,ydaB,1.998,3.611,1.74,1.647
transcriptomics,O31670,ykvA,0.843,0.908,0.33,0.203
transcriptomics,P38033,iscS,-1.98,-3.278,-3.317,-0.959
transcriptomics,P39843,blt,2.3,3.904,1.73,2.134
transcriptomics,O07587,yhdR,-1.221,-2.342,-1.379,-1.298
transcriptomics,P71052,yveM,-1.288,-1.935,-2.316,-2.64
transcriptomics,O34412,ylbF,0.424,1.421,1.411,0.596
transcriptomics,P70973,truA,1.58,1.705,1.479,1.425
transcriptomics,P27876,tpiA,-0.329,-1.595,-0.354,-0.976
transcriptomics,O05227,mrpG,0.491,2.348,1.766,1.198
transcriptomics,P54338,xkdS,0.624,0.132,-0.332,-0.549
transcriptomics,O07004,yveF,0.683,1.373,0.688,0.61
transcriptomics,O34798,yjeA,-2.455,-1.849,-0.408,-1.39
transcriptomics,O07006,padC,0.816,2.219,1.983,1.273
transcriptomics,O34600,ytqI,-0.741,-1.71,-1.27,-1.15
transcriptomics,P96583,topB,0.174,0.486,0.928,0.736
transcriptomics,P39757,moaA,0.508,1.821,1.588,1.261
transcriptomics,O31581,yfhM,2.503,3.809,2.634,2.596
transcriptomics,P39123,glgP,-1.298,-4.021,-2.094,-2.809
transcriptomics,P80643,acpA,-1.147,-3.265,-2.665,-1.344
transcriptomics,O31455,ybfO,0.551,3.012,2.625,0.997
transcriptomics,P42957,mtlD,0.53,-0.235,0.666,1.176
transcriptomics,P50620,nrdE,-0.619,-1.924,0.079,-0.085
transcriptomics,O34744,ylnD,0.147,-1.394,-0.44,0.629
transcriptomics,O07604,yhfF,0.025,-1.384,-0.669,-0.056
transcriptomics,O07594,yhdY,0.273,0.805,1.161,0.514
transcriptomics,O34681,yjgD,2.569,5.224,2.953,3.505
transcriptomics,P53559,bioW,-0.785,-1.765,0.172,0.217
transcriptomics,O31616,goxB,0.019,-1.26,-0.097,0.078
transcriptomics,P50619,ymaB,0.38,-0.884,0.152,0.194
transcriptomics,P42065,appF,-1.277,-1.902,-1.006,-0.718
transcriptomics,P94513,lytS,-0.62,-1.175,-0.887,-0.479
transcriptomics,P94358,aldY,1.105,2.961,1.202,1.092
transcriptomics,P39912,aroA,-0.939,-2.828,-1.694,-0.675
transcriptomics,P08750,dacA,-1.44,-1.965,-1.416,-0.848
transcriptomics,P53558,bioD,-0.823,-2.741,-1.011,-0.269
transcriptomics,O31753,dxr,-2.381,-2.138,-0.834,-1.738
transcriptomics,P80700,tsf,-1.027,-2.744,-1.452,-1.319
transcriptomics,P14204,comA,-1.722,-2.708,-1.278,-1.047
transcriptomics,P71075,yukJ,-0.049,-1.523,-0.443,0.105
transcriptomics,P42406,hxlR,0.237,1.641,0.643,0.051
transcriptomics,P37481,yycC,0.373,0.459,0.477,0.981
transcriptomics,P26497,spo0J,-0.489,-1.563,-0.23,-0.111
transcriptomics,P39633,rocG,0.076,-1.611,-0.702,-0.469
transcriptomics,O34759,ydjO,0.321,1.907,0.782,0.705
transcriptomics,O34977,ythP,0.791,2.714,1.466,0.878
transcriptomics,O08336,cypE,0.652,1.968,2.383,0.594
transcriptomics,P35161,resB,-1.783,-2.763,-1.022,-0.78
transcriptomics,O34694,ytaB,1.741,2.826,0.359,0.282
transcriptomics,P54537,artM,-0.141,-1.97,-1.763,-1.276
transcriptomics,P45453,comX,-0.903,-1.848,-1.145,-1.303
transcriptomics,P32398,yhgD,1.305,3.012,0.635,0.261
transcriptomics,O32003,yokD,0.402,1.53,0.495,0.22
transcriptomics,P54503,yqgZ,4.244,4.872,2.279,2.301
transcriptomics,P54327,xkdG,0.357,-0.138,-0.885,-0.696
transcriptomics,P14383,proH,0.525,2.235,2.95,2.383
transcriptomics,P12012,gntP,1.789,3.181,2.889,2.082
transcriptomics,Q45477,ileS,-0.096,-1.21,-0.27,-0.188
transcriptomics,P39804,ipi,0.844,2.297,0.935,1.126
transcriptomics,O31440,cypC,2.037,3.698,1.839,1.911
transcriptomics,Q02112,lytA,-0.943,-2.283,-2.254,-1.244
transcriptomics,P71053,yveN,-1.201,-1.448,-2.192,-1.917
transcriptomics,Q03521,mraY,-0.352,-1.518,-0.858,-0.782
transcriptomics,O34981,ykuQ,-0.206,-1.918,-0.433,-0.184
transcriptomics,P37566,yacD,-1.205,-1.857,-1.207,-0.868
transcriptomics,P53001,aspB,-1.756,-3.334,-1.469,-1.459
transcriptomics,P24500,flgB,-0.465,-1.98,-2.209,-1.425
transcriptomics,O31926,yopL,0.335,-1.315,-2.33,-1.258
