"Identified Proteins",UniProtKB.Entry,"Fold Change by Category (0M / 1M)","Fold Change by Category (1M / 3.5M)"
"Formate--tetrahydrofolate ligase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=fhs PE=3 SV=1",G4L831,1.58,NA
"GTP cyclohydrolase 1 type 2 homolog OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_14980 PE=3 SV=1",G4L8F1,1.51,NA
"Galactose operon repressor GalR OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=galR PE=4 SV=1",G4L2H9,1.93,NA
"Galactose-6-phosphate isomerase subunit LacB OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=lacB PE=3 SV=1",G4L4V0,-1.72,NA
"Glutamate dehydrogenase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=gdh PE=3 SV=1",G4L6H2,1.59,NA
"Glutamine synthetase repressor OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=glnR PE=4 SV=1",G4L6Y7,1.55,1.52
"Glutamine transport system permease protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_13240 PE=3 SV=1",G4L7X7,2.35,2.57
"Glycerol dehydrogenase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=gldA PE=4 SV=1",G4L5I7,NA,2.35
"Glycine betaine ABC transporter ATP-binding protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=busAA PE=4 SV=1",G4L520,NA,-1.6
"Glycine betaine ABC transporter permease/glycine betaine-binding protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=busAB PE=3 SV=1",G4L521,NA,-2.35
"Glycine betaine transporter ButA OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=butA PE=3 SV=1",G4L815,-1.55,-1.67
"Holliday junction ATP-dependent DNA helicase RuvA OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=ruvA PE=3 SV=1",G4L344,1.54,1.53
"Holliday junction resolvase RecU OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=recU PE=3 SV=1",G4L803,NA,1.64
"Invertase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=scrB PE=3 SV=1",G4L4S6,NA,-2.03
"Iron-sulfur cluster assembly protein SufB OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=sufB PE=4 SV=1",G4L5X0,1.54,NA
"Isopentenyl-diphosphate delta-isomerase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=fni PE=3 SV=1",G4L4J2,1.52,NA
"L-serine dehydratase alpha chain OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=sdhA PE=4 SV=1",G4L4G9,-1.54,NA
"Lipoate--protein ligase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=lplA PE=4 SV=1",G4L611,1.54,NA
"Lipoprotein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_18670 PE=3 SV=1",G4L9H0,-2.13,NA
"Lipoprotein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=metQ PE=3 SV=1",G4L332,-1.71,NA
"LytT family two-component response regulator OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_15370 PE=4 SV=1",G4L8J0,2.19,NA
"Malate dehydrogenase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_03830 PE=3 SV=1",G4L586,NA,-1.99
"ManO protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=manO PE=4 SV=1",G4L687,2.79,1.69
"Mannose/glucose-specific phosphotransferase system enzyme IIB component OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_07300 PE=4 SV=1",G4L683,1.73,1.54
"Methionine ABC transporter permease protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=metI PE=3 SV=1",G4L333,2.07,NA
"Muramidase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_01050 PE=4 SV=1",G4L3W6,-1.55,NA
"N-acetylglucosamine-6-phosphate deacetylase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=nagA PE=3 SV=1",G4L8J8,NA,1.53
"NAD-dependent deacetylase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_05670 PE=4 SV=1",G4L5S0,NA,-1.6
"NADH oxidase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=nox PE=4 SV=1",G4L4J7,2.2,NA
"NADH peroxidase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=npr PE=4 SV=1",G4L4P7,1.52,NA
"Nuclease SbcCD subunit D OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=sbcD PE=3 SV=1",G4L625,NA,1.54
"Nucleoside deoxyribosyltransferase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=ntd PE=4 SV=1",G4L2D4,NA,-2.58
"Nucleoside diphosphate kinase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=ndk PE=3 SV=1",G4L3Q8,1.61,1.55
"O-acetyltransferase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_02350 PE=4 SV=1",G4L4L2,2,NA
"Oligopeptide ABC transporter ATP-binding protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=oppD PE=3 SV=1",G4L2W6,NA,1.57
"Oligopeptide ABC transporter peptide-binding protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=oppA PE=4 SV=1",G4L2X1,-1.96,1.75
"OmpR family two-component response regulator OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_09050 PE=4 SV=1",G4L6Q8,1.53,NA
"OmpR family two-component response regulator OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_10310 PE=4 SV=1",G4L734,1.95,1.52
"OmpR family two-component response regulator OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_11180 PE=4 SV=1",G4L7C1,1.62,NA
"OmpR family two-component response regulator OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_25180 PE=4 SV=1",G4L4X2,1.65,NA
"Ornithine carbamoyltransferase, catabolic OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=arcB PE=3 SV=1",G4L3Y9,2.17,NA
"Ornithine carbamoyltransferase, catabolic OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=arcB PE=3 SV=1",G4L4U4,NA,-1.83
"Orotate phosphoribosyltransferase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=pyrE PE=3 SV=1",G4L842,NA,1.56
"Osmoprotectant ABC transporter ATP-binding protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=opuCA PE=4 SV=1",G4L4I7,1.73,NA
"Osmoprotectant ABC transporter permease protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=opuCD PE=3 SV=1",G4L4I4,2.16,1.75
"Osmoprotectant ABC transporter substrate-binding protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=opuCB PE=4 SV=1",G4L4I5,1.59,NA
"Oxidoreductase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_05820 PE=4 SV=1",G4L5T5,NA,1.57
"Pantothenate kinase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=coaA PE=3 SV=1",G4L3F6,1.75,2.01
"Penicillin-binding protein 1b OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=pbp1b PE=4 SV=1",G4L917,-1.69,NA
"Peptidase M20 family protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_06480 PE=4 SV=1",G4L601,1.64,NA
"Peptidase M22 family protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_19720 PE=4 SV=1",G4L2H0,1.56,NA
"Peptidase U32 family protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_00690 PE=4 SV=1",G4L3T0,NA,1.89
"Peptide methionine sulfoxide reductase MsrA OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=msrA PE=3 SV=1",G4L8N8,1.8,NA
"Peptide methionine sulfoxide reductase MsrB OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=msrB PE=3 SV=1",G4L346,NA,-1.61
"Permease IIC component OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=celB PE=4 SV=1",G4L7A0,NA,2.1
"Phosphatase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_22260 PE=4 SV=1",G4L377,-1.69,NA
"Phosphate import ATP-binding protein PstB OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=pstB PE=3 SV=1",G4L939,1.78,NA
"Phosphate transport system permease protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=pstC PE=3 SV=1",G4L942,NA,1.64
"Phosphate transport system permease protein PstA OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=pstA PE=3 SV=1",G4L941,1.54,1.74
"Phosphatidylglycerophosphate synthase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=pgsA PE=3 SV=1",G4L3P5,2.07,NA
"Phosphopantetheine adenylyltransferase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=coaD PE=3 SV=1",G4L8G8,1.52,NA
"Phosphopentomutase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=deoB PE=3 SV=1",G4L5P8,1.91,NA
"Prephenate dehydratase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=pheA PE=4 SV=1",G4L856,1.52,NA
"Probable transcriptional regulatory protein TEH_12690 OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_12690 PE=3 SV=1",G4L7S2,NA,2.16
"Proline--tRNA ligase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=proS PE=3 SV=1",G4L2F9,1.8,NA
"Protein translocase subunit SecY OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=secY PE=3 SV=1",G4L3B2,1.96,1.51
"Pseudouridine synthase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=rluD PE=3 SV=1",G4L834,1.71,NA
"Purine nucleoside phosphorylase DeoD-type OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=deoD PE=3 SV=1",G4L3E5,1.91,NA
"Putative 6-phospho-beta-glucosidase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_05340 PE=3 SV=1",G4L5N7,NA,1.66
"Putative ABC transporter ATP-binding protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_05170 PE=4 SV=1",G4L5M0,NA,-2.89
"Putative ABC transporter ATP-binding protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_05180 PE=4 SV=1",G4L5M1,NA,-2.06
"Putative ABC transporter ATP-binding protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_05540 PE=4 SV=1",G4L5Q7,NA,-1.57
"Putative ABC transporter ATP-binding protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_10360 PE=4 SV=1",G4L739,NA,2.38
"Putative ABC transporter ATP-binding protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_21300 PE=3 SV=1",G4L2X8,NA,1.51
"Putative ABC transporter ATP-binding/permease protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_03090 PE=3 SV=1",G4L512,1.74,NA
"Putative ABC transporter permease protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_05190 PE=4 SV=1",G4L5M2,NA,-2.27
"Putative ABC transporter permease protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_10350 PE=3 SV=1",G4L738,NA,1.54
"Putative ABC transporter permease protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_21720 PE=4 SV=1",G4L320,1.92,NA
"Putative ABC transporter permease protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_24280 PE=3 SV=1",G4L476,NA,-1.6
"Putative ABC transporter permease/ATP-binding protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_06750 PE=4 SV=1",G4L628,NA,1.56
"Putative ABC transporter substrate-binding protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_00920 PE=4 SV=1",G4L3V3,-1.95,NA
"Putative ABC transporter substrate-binding protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_19040 PE=3 SV=1",G4L9K7,NA,-1.52
"Putative ABC transporter substrate-binding protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_22990 PE=4 SV=1",G4L3F0,-1.78,NA
"Putative ABC transporter substrate-binding protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_24720 PE=3 SV=1",G4L4C0,-1.97,NA
"Putative AraC family transcriptional regulator OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_12210 PE=4 SV=1",G4L7M4,NA,1.65
"Putative C56 family peptidase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_00950 PE=4 SV=1",G4L3V6,NA,-2.14
"Putative GntR family transcriptional regulator OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_00380 PE=4 SV=1",G4L3P9,1.66,NA
"Putative LevR family transcriptional regulator OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_16760 PE=4 SV=1",G4L8X9,NA,1.51
"Putative LytR family regulatory protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_14040 PE=4 SV=1",G4L857,1.59,NA
"Putative RNA methyltransferase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_15160 PE=4 SV=1",G4L8G9,1.66,NA
"Putative TetR family transcriptional regulator OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_16510 PE=4 SV=1",G4L8V4,1.75,NA
"Putative TetR family transcriptional regulator OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_23990 PE=4 SV=1",G4L447,1.58,NA
"Putative UmuC-like protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_16470 PE=4 SV=1",G4L8V0,NA,-1.82
"Putative Xre family DNA-binding protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_05240 PE=4 SV=1",G4L5M7,-1.84,NA
"Putative acetyltransferase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_22190 PE=4 SV=1",G4L370,1.56,NA
"Putative acyl-CoA hydrolase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_19240 PE=4 SV=1",G4L9M7,1.58,1.53
"Putative acyltransferase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_09440 PE=4 SV=1",G4L6U7,NA,1.75
"Putative aldo-keto reductase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_17100 PE=4 SV=1",G4L913,1.67,NA
"Putative amino acid ABC transporter amino acid-binding protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_21260 PE=4 SV=1",G4L2X4,-1.59,NA
"Putative arginine/ornithine antiporter OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=arcD PE=4 SV=1",G4L4U1,NA,-2.85
"Putative arsenate reductase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_01700 PE=3 SV=1",G4L4E7,NA,1.6
"Putative beta-glucan-specific phosphotransferase system enzyme IIA component OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_16740 PE=4 SV=1",G4L8X7,-1.83,1.54
