Accession,Entry,Entry.name,Protein.Name,Ratio.115.114,P.Val.115.114,Ratio.116.114,P.Val.116.114,Ratio.117.114,P.Val.117.114
gi|6319587,Q01976,ADPP_YEAST,"Homolog to serendipity protein (D. melanogaster); Ysa1p",0.8469,0.0921,0.817,0.0147,0.8851,0.1326
gi|6325151,P32589,HSP7F_YEAST,"HSP70 family member, highly homologous to Ssa1p and Sse2p; Sse1p",0.7183,0,0.7904,0.0018,0.7461,0.0033
gi|6319483,P00817,IPYR_YEAST,"Inorganic pyrophosphatase; Ipp1p",0.8442,0.0003,1.135,0.0312,1.0138,0.7722
gi|6320242,P15180,SYKC_YEAST,"lysyl-tRNA synthetase; Krs1p",1.2133,0.3586,3.2144,0.0352,2.5794,0.1458
gi|6320950,P22202,HSP74_YEAST,"member of 70 kDa heat shock protein family; Ssa4p",0.8351,0.0579,0.9997,0.9968,1.4588,0.0001
gi|6320304,P34730,BMH2_YEAST,"member of conserved eukaryotic 14-3-3 gene family; Bmh2p",0.8561,0.1136,0.775,0.0038,0.8984,0.2216
gi|6324950,P46367,ALDH4_YEAST,"mitochondrial aldehyde dehydrogenase; Ald4p",0.8987,0.0028,0.6159,0,0.8995,0.0281
gi|6322002,P38891,BCA1_YEAST,"Mitochondrial branched-chain amino acid aminotransferase, homolog of murine ECA39; highly expressed during logarithmic phase and repressed during stationary phase; Bat1p",0.3724,0.0004,0.4767,0.0001,0.4285,0.0004
gi|6323288,P19882,HSP60_YEAST,"mitochondrial chaperonin, homolog of E. coli groEL protein; Hsp60p",0.8314,0.0009,1.143,0.0441,1.2422,0.0002
gi|6319370,P07251,ATPA_YEAST,"mitochondrial F1F0-ATPase alpha subunit; Atp1p",2.2798,0,2.8429,0,2.845,0
gi|6324256,P32048,SYKM_YEAST,"mitochondrial lysine-tRNA synthetase; Msk1p",1.0345,0.0232,1.7343,0.043,1.5941,0.054
gi|6322765,P17505,MDHM_YEAST,"mitochondrial malate dehydrogenase; Mdh1p",0.7162,0.0004,0.702,0.0013,0.8037,0.003
gi|6322505,P0CS90,HSP77_YEAST,"Mitochondrial matrix protein involved in protein import; subunit of SceI endonuclease; Ssc1p",0.8565,0.0034,0.9868,0.7936,1.8328,0.5106
gi|6321973,Q03558,OYE2_YEAST,"NAPDH dehydrogenase (old yellow enzyme), isoform 2; Oye2p",0.9004,0.1872,1.0963,0.0362,1.3257,0
gi|6321338,P53011,SEH1_YEAST,"nuclear pore protein; Seh1p",1.0203,0.3616,1.1051,0.022,1.3087,0.1781
gi|6324313,P0CT04,IPB2_YEAST,Pbi2p,0.8314,0.24,0.4098,0.0226,0.4985,0.049
gi|6323089,P15624,SYFB_YEAST,"Phenylalanyl-tRNA synthetase, alpha subunit, cytoplasmic; Frs1p",0.9688,0.0043,2.2014,0.0034,2.2082,0.0034
gi|6321679,P16861,PFKA1_YEAST,"phosphofructokinase alpha subunit; Pfk1p",1.0553,0.1565,1.3647,0,1.1502,0.0018
gi|6321679,P16861,PFKA1_YEAST,"phosphofructokinase alpha subunit; Pfk1p",1.1448,0.467,1.4461,0.0887,1.2248,0
gi|6323861,P16862,PFKA2_YEAST,"phosphofructokinase beta subunit; Pfk2p",0.9544,0.2941,1.2702,0,1.276,0.1321
gi|6323752,P37012,PGM2_YEAST,"Phosphoglucomutase; Pgm2p",1.9366,0,1.6516,0,1.7018,0
gi|6322783,P36010,NDK_YEAST,"probable nucleoside-diphosphate kinase (EC 2.7.4.6); Ynk1p",0.7134,0,0.913,0.0019,0.9313,0.0776
gi|6323570,P54838,DAK1_YEAST,"putative dihydroxyacetone kinase; Dak1p",1.1196,0.3545,1.3319,0.0173,1.7782,0
gi|6320882,P39954,SAHH_YEAST,"putative S-adenosyl-L-homocysteine hydrolase; Sah1p",0.6406,0.0003,1.1139,0.2211,0.9669,0.7494
gi|6323073,P06169,PDC1_YEAST,"pyruvate decarboxylase; Pdc1p",0.9157,0,2.6191,0,2.7814,0
gi|6319279,P00549,KPYK1_YEAST,"Pyruvate kinase; Cdc19p",0.8722,0,0.9368,0.0154,0.7954,0
gi|6319559,P0CX82,RL19A_YEAST,"Ribosomal protein L19A (L23A) (rpl5L) (YL14); Rpl19ap",1.4911,0.0009,5.0553,0.0141,6.7594,0.0077
gi|6319444,P0CX83,RL19B_YEAST,"Ribosomal protein L19B (YL14) (L23B) (rpl5L); Rpl19bp",1.4911,0.0009,5.0553,0.0141,6.7594,0.0077
gi|6321754,P17076,RL8A_YEAST,"Ribosomal protein L8A (rp6) (YL5) (L4A); Rpl8ap",1.0473,0.0012,3.6348,0.0021,4.2964,0.0022
gi|6321653,P32905,RSSA1_YEAST,"Ribosomal protein S0A; Rps0ap",1.4523,0,3.2181,0.0006,3.69,0.0005
gi|6323077,P46654,RSSA2_YEAST,"Ribosomal protein S0B; Rps0bp",1.4523,0,3.2181,0.0006,3.69,0.0005
gi|6323196,P05759,RS27A_YEAST,"Ribosomal protein S31 (S37) (YS24); Rps31p",1.1818,0.0119,1.4585,0.0002,1.5356,0
gi|6320226,P07284,SYSC_YEAST,"seryl-tRNA synthetase; Ses1p",1.0892,0.0012,1.7612,0.0013,1.5979,0.005
gi|6321931,P13130,SS100_YEAST,"sporulation-specific wall maturation protein; Sps100p",1.1751,0.0031,1.1399,0.005,1.2977,0.0032
gi|6321648,P22803,TRX2_YEAST,"thioredoxin; Trx2p",0.6606,0.0011,0.5765,0.0001,0.6197,0
gi|6323613,P34760,TSA1_YEAST,"thioredoxin-peroxidase (TPx); reduces H2O2 and alkyl hydroperoxides with the use of hydrogens provid",1.1903,0,1.3155,0,1.1644,0
gi|6324804,Q12363,WTM1_YEAST,"Transcriptional modulator; Wtm1p",1.2564,0.0435,0.96,0.6334,1.0074,0.9401
gi|6325331,P23254,TKT1_YEAST,"Transketolase 1; Tkl1p",0.5883,0,0.947,0.5829,1.8754,0.6842
gi|6324707,P32324,EF2_YEAST,"translation elongation factor 2 (EF-2); Eft1p",1.0134,0.7621,0.8861,0.0204,0.995,0.9157
gi|6320593,NA,NA,"translation elongation factor 2 (EF-2); Eft2p",1.0134,0.7621,0.8861,0.0204,0.995,0.9157
gi|6322912,P10081,IF4A_YEAST,"translation initiation factor eIF4A; Tif1p",1.2605,0.1311,0.7282,0.0106,0.7356,0.0357
gi|6322323,NA,NA,"translation initiation factor eIF4A; Tif2p",1.2605,0.1311,0.7282,0.0106,0.7356,0.0357
gi|6325337,P02994,EF1A_YEAST,"translational elongation factor EF-1 alpha; Tef1p",0.8832,0.3673,1.1765,0.1865,1.3886,0.0194
gi|6319594,NA,NA,"translational elongation factor EF-1 alpha; Tef2p",0.8832,0.3673,1.1765,0.1865,1.3886,0.0194
gi|6320279,P31688,TPS2_YEAST,"Trehalose-6-phosphate phosphatase; Tps2p",1.3347,0.0051,1.405,0.0322,1.6799,0.0526
gi|6320255,P00942,TPIS_YEAST,"triosephosphate isomerase; Tpi1p",0.6962,0,0.988,0.5292,0.9873,0.4245
gi|6320139,P50623,UBC9_YEAST,"ubiquitin-conjugating enzyme; Ubc9p",0.5624,0.0417,0.4107,0.0095,2.5841,0.0415
gi|6322815,P32861,UGPA1_YEAST,"Uridinephosphoglucose pyrophosphorylase; Ugp1p",1.3767,0.0026,1.588,0,1.6213,0
gi|6322746,P14904,AMPL_YEAST,"vacuolar aminopeptidase ysc1; Lap4p",0.6778,0.0001,0.7601,0.0011,0.7311,0
gi|6320016,P17255,VATA_YEAST,"vacuolar ATPase V1 domain subunit A (69 kDa); Tfp1p",2.0656,0,2.3103,0,1.8095,0
gi|6319603,P16140,VATB_YEAST,"vacuolar ATPase V1 domain subunit B (60 kDa); Vma2p",2.8895,0,3.3357,0,2.6255,0.0003
gi|6320079,Q07551,KAR_YEAST,Ydl124wp,1.2259,0.044,0.8837,0.1515,0.9305,0.5479
gi|6320742,Q04432,HSP31_YEAST,Ydr533cp,0.926,0.2404,1.1633,0.0091,1.5051,0.0002
gi|6321159,P43616,DUG1_YEAST,Yfr044cp,1.0958,0.1555,1.4845,0,1.3234,0
gi|6324169,P38616,YGP1_YEAST,"YGP1 encodes gp37, a glycoprotein synthesized in response to nutrient limitation which is homologous",1.0587,0.3331,1.1455,0.1961,1.2822,0.0183
gi|6322556,P47137,YJ66_YEAST,Yjr096wp,0.6723,0.0195,0.7603,0.004,0.9881,0.7954
gi|6322932,P36159,RNZ_YEAST,Ykr079cp,1.5081,0.0011,0.9435,0.3228,1.0336,0.5117
gi|6323464,P50095,IMDH3_YEAST,Ylr432wp,0.6576,0.0405,0.8306,0.0292,0.8635,0.5724
gi|6323846,Q04322,GYL1_YEAST,Ymr192wp,1.0395,0.4238,1.4454,0.0225,1.2596,0.0524
gi|6323882,Q05016,YM71_YEAST,Ymr226cp,0.6959,0.0265,1.0655,0.1067,1.0514,0.2993
gi|6324195,P53912,YNN4_YEAST,Ynl134cp,1.0173,0.5369,1.1762,0.0087,1.5969,0
gi|9755343,Q3E841,YN034_YEAST,Ynr034w-ap,0.9524,0.6109,0.4894,0.0001,0.513,0.0004
