"prot_acc","Annotation","Human.orthologue","Entry","Fold.Change..FW.SW.","p.value"
"contig01508","RecName: Full=Sodium/potassium-transporting ATPase subunit beta-233; AltName: Full=Sodium/potassium-dependent ATPase subunit beta-233gi|7406523|emb|CAB85586.1| putative Na,K-ATPase beta 1 isoform b233 [Anguilla anguilla]","ATP1B1","P05026",0.71,0.003
"contig15479","malate dehydrogenase, mitochondrial [Danio rerio]","MDH2","P40926",0.71,0
"contig07539","Cytochrome b-c1 complex subunit 2, mitochondrial precursor [Salmo salar]","UQCRC2","P22695",0.71,0.007
"contig03894","plastin-2 [Danio rerio]","LCP1","P13796",1.33,0.009
"contig03220","PREDICTED: myosin-10-like [Danio rerio]","MYH10","P35580",1.33,0.001
"contig11819","heat shock 90kDa protein 1 beta isoform b [Oncorhynchus mykiss]","HSP90AB1","P08238",1.34,0.045
"contig03156","Macrophage capping protein [Osmerus mordax]","CAPG","P40121",1.35,0
"contig16908","glutathione S-trasferase [Anguilla anguilla]","GSTT2B","P0CG30",1.39,0.032
"contig01207","Peroxiredoxin-6 [Salmo salar]","PRDX6","P30041",1.4,0.001
"contig08938","triosephosphate isomerase b [Ictalurus punctatus]","TPI1;TPI1P1","P60174",1.41,0
"contig11543","Annexin A1 [Osmerus mordax]","ANXA1","P04083",1.41,0.027
"contig06446","Cytochrome c oxidase subunit VIb isoform 1 [Dicentrarchus labrax]","COX6B1","P14854",1.43,0.003
"contig10733","elongation factor 1 [Anguilla australis]","EEF1A1","P68104",1.43,0.004
"contig13326","enolase A [Acipenser baerii]","ENO1","P06733",1.45,0.013
"contig10773","elongation factor 1-alpha (454 AA) [Xenopus laevis]","EEF1A1","P68104",1.45,0.009
"contig00104","hypothetical protein LOC322909 [Danio rerio]","NA","NA",1.46,0.002
"contig06539","PREDICTED: heat shock protein 75 kDa, mitochondrial-like [Danio rerio]","TRAP1","Q12931",1.46,0.003
"contig17286","Annexin A5 [Salmo salar]","ANXA5","P08758",1.48,0.001
"contig02242","phosphoglycerate kinase 1 [Salmo salar]","PGK1","P00558",1.49,0.002
"contig00619","Enolase 1, (alpha) [Danio rerio]","ENO1","P06733",1.5,0.001
"contig21378","glutathione peroxidase 1 [Danio rerio]","NA","NA",1.5,0.043
"contig00215","Profilin-2 [Salmo salar]","PFN2","P35080",1.5,0.004
"contig00455","Ppia protein [Danio rerio]","PPIF","P30405",1.52,0.044
"contig09935","Caspase-3 precursor [Salmo salar]","CASP3","P42574",1.54,0.04
"contig11257","#N/A","NA","NA",1.59,0.005
"contig04828","Peroxiredoxin-4 [Salmo salar]","PRDX4","Q13162",1.6,0
"contig01281","glucosamine--fructose-6-phosphate aminotransferase [isomerizing]","GFPT2","O94808",1.62,0.011
"contig21211","cysteine proteinase inhibitor [Oncorhynchus mykiss]","NA","NA",1.66,0.003
"contig05914","PREDICTED: stonustoxin subunit beta-like [Danio rerio]","NA","NA",1.73,0.002
"contig12584","Glutamine-fructose-6-phosphate transaminase 2 [Danio rerio]","GFPT2","O94808",1.75,0
"contig00885","Peroxiredoxin [Osmerus mordax]","PRDX1","Q06830",1.75,0.029
"contig19001","Leukocyte elastase inhibitor [Esox lucius]","SERPINB1","P30740",1.79,0.022
"contig10468","#N/A","NA","NA",2.06,0.021
"contig07368","lysozyme g [Ictalurus furcatus]","LYG2","Q86SG7",2.21,0.002
"contig00439","glutamine synthetase [Oreochromis niloticus]","GLUL","P15104",2.31,0
"contig01462","hypothetical protein LOC327615 [Danio rerio]","CRP","P02741",2.37,0.023
"contig12029","RecName: Full=Fucolectin-6; Flags: Precursorgi|9651031|dbj|BAB03528.1| fucolectin-6 [Anguilla japonica]","NA","NA",2.48,0.001
"contig11209","H-2 class II histocompatibility antigen, A-D beta chain precursor [Esox lucius]","HLA-DQB2","P05538",2.72,0
"contig11665","MHC class I [Salmo salar]","HLA-B;HLA-C;HLA-A;MICA;LOC441528","P01889",2.72,0.023
"contig22159","MHC class II alpha chain [Oncorhynchus mykiss]","NA","NA",2.87,0.021
"contig21130","C-type lectin 1 [Anguilla japonica]","ACAN","P16112",3.42,0.019
"contig05294","Cytosolic 5-nucleotidase 1A [Salmo salar]","NT5C1A","Q9BXI3",3.72,0.001
"contig02961","C-type lectin 2 [Anguilla japonica]","ACAN","P16112",4.57,0.031
