id,Protein.IDs,Gene.Names,Protein.Descriptions,Uniprot,X.24h.GLUCOSE.Control,X24h.GLUCOSE.Control.TTest.Up,X24h.GLUCOSE.Control.TTest.Down
1642,IPI00380436;IPI00136701;IPI00387557;IPI00331664;IPI00830639,Actn1,Alpha-actinin-1,Q7TPR4;A1BN54;Q99LJ3,4.6151,0.0008,0.9992
345,IPI00118899;IPI00775849;IPI00830549,Actn4,Alpha-actinin-4,P57780;Q1A602;Q3UDJ7;Q3ULT2;Q61064;Q8BP35,1.7339,0.0081,0.9919
1795,IPI00462072;IPI00648821;IPI00849751;IPI00473227;IPI00828597;IPI00649143;IPI00649551;IPI00649925;IPI00648260,Eno1;Eno-1;RP23-278I3.3-002,"Alpha-enolase;Enolase;similar to enolase 1, alpha non-neuron;Enolase",P17182;Q5FW97;Q6PHC1;Q8CF78,1.8989,0.0017,0.9983
147,IPI00111770;IPI00875971,Atp5i;Atp5k;Lfm-1;Lfm1,"ATP synthase e chain, mitochondrial",Q06185;Q5EBI8,1.5403,0.0047,0.9953
652,IPI00128450;IPI00756325,Fam62a;Esyt1;Mbc2,"Isoform 1 of Protein FAM62A;Isoform 2 of Protein FAM62A",Q3U7R1-1;Q3U7R1;Q3U7R1-2,1.1106,0.0015,0.9985
2012,IPI00117167;IPI00759948,Gsn;Gsb,"Isoform 1 of Gelsolin precursor;Isoform 2 of Gelsolin precursor",P13020-1;P13020;A2AL35;Q3TGJ9;Q3U9Q8;Q3UCW8;P13020-2;A6PWS5;Q6PAC1,2.1829,0.0049,0.9951
638,IPI00128071;IPI00757596;IPI00663122;IPI00659170,Uso1;Vdp,"Isoform 1 of General vesicular transport factor p115;Isoform 2 of General vesicular transport factor p115",Q9Z1Z0-1;Q9Z1Z0;Q9Z1Z0-2,1.9386,0.003,0.997
1503,IPI00323357;IPI00457741,Hspa8;Hsc70;Hsc73,"Heat shock cognate 71 kDa protein;71 kDa protein",P63017;Q3KQJ4;Q3TB63;Q3TEK2;Q3TF16;Q3TH04;Q3TH56;Q3TQ13;Q3TRH3;Q3TZJ3;Q3U9L2;Q3UBA6;Q3UBR0;Q3UDS0;Q3ULM1;Q3UXU1;Q504P4;Q9QZ38,1.8745,0.0022,0.9978
809,IPI00132762,Trap1;Hsp75,"Heat shock protein 75 kDa, mitochondrial precursor",Q9CQN1;Q3TK29;Q3TSG8;Q3UPJ8;Q922R9;Q922Z3,2.4454,0.0012,0.9988
421,IPI00121105,Hadh;Hadhsc;Mschad;Schad,"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial precursor",Q61425,1.3257,0.0027,0.9973
793,IPI00132474,Itgb1,"Integrin beta-1 precursor",P09055;Q3TIW5;Q3TWH6;Q8BTU0;Q8BUD1;Q8BVU1,2.9844,0.0036,0.9964
1599,IPI00344004,Ndufa12,"NADH dehydrogenase (Ubiquinone) 1 alpha subcomplex, 12",Q7TMF3;Q5M9K5;Q8BME2,1.9073,0.0072,0.9928
636,IPI00128023;IPI00830766;IPI00830872,Ndufs2,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial precursor;50 kDa protein",Q91WD5,1.2681,0.0018,0.9982
432,IPI00121309;IPI00475158,Ndufs3,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial precursor;similar to NADH dehydrogenase (ubiquinone) Fe-S protein 3",Q9DCT2,1.4739,0.0048,0.9952
554,IPI00124771;IPI00850430,Slc25a3,"Phosphate carrier protein, mitochondrial precursor;similar to Solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 3",Q8VEM8;Q3THU8;Q3U995;Q3UB63,1.3754,0.0041,0.9959
1093,IPI00223060;IPI00131438,Pck2,"mitochondrial phosphoenolpyruvate carboxykinase 2",Q8BH04;A0PJG3;Q3TDE6;Q3UGF0;Q3UQD8;Q8R3X7,1.1634,0.0004,0.9996
1887,IPI00555069;IPI00555060,Pgk1;Pgk-1,"Phosphoglycerate kinase 1",P09411,1.5617,0.0041,0.9959
822,IPI00755226;IPI00133030;IPI00849485;IPI00606831;IPI00124630,Sec61b,"similar to protein translocation complex beta subunit;Protein transport protein Sec61 subunit beta",Q9CQS8;A2AJM8,1.4497,0.0075,0.9925
1195,IPI00229080;IPI00554929;IPI00830562,Hsp90ab1;Hsp84b;Hspcb;Hsp84;Hsp84-1,"Heat shock protein 84b;Heat shock protein HSP 90-beta",Q71LX8;Q80YC2;Q811H6;P11499,1.4261,0.0072,0.9928
229,IPI00114710,Pc;Pcx,"Activated spleen cDNA, RIKEN full-length enriched library, clone:F830201B12 product:pyruvate carboxylase, full insert sequence",Q05920;Q3T9S7;Q3TCQ3;Q3UFS6;Q62043;Q8BP54,1.2352,0.0045,0.9955
1085,IPI00222767;IPI00753072;IPI00752455,Pdhx;RP23-203N8.2-003;RP23-203N8.2-002,"Pyruvate dehydrogenase protein X component, mitochondrial precursor;Pyruvate dehydrogenase complex, component X;Pyruvate dehydrogenase complex, component X",Q8BKZ9;A2AWH6;A2AWH7;A2AWH8,2.381,0.0015,0.9985
1693,IPI00407130,Pkm2;Pk3;Pykm,"Isoform M2 of Pyruvate kinase isozymes M1/M2",P52480-1;P52480,1.2021,0.0048,0.9952
443,IPI00121550,Atp1b1;Atp4b,"Sodium/potassium-transporting ATPase subunit beta-1",P14094;Q3TRA6;Q3TSQ1;Q3TV47;Q545P0,1.6583,0.0002,0.9998
273,IPI00116192,Prdx3;Aop1;Mer5,"Thioredoxin-dependent peroxide reductase, mitochondrial precursor",P20108;Q8K4K8,2.4486,0.0039,0.9961
1928,IPI00626106;IPI00125778;IPI00128986;IPI00458794,Tagln2,"transgelin 2;Transgelin-2",Q3TIB8;Q6A0C6;Q91VU2;Q9WVA4,1.8882,0.0003,0.9997
890,IPI00134398,Sec62;Tloc1,"Translocation protein SEC62",Q8BU14;Q05DA2;Q8BK88;Q8CIK3;Q9CRY0,1.2947,0.0041,0.9959
255,IPI00115607;IPI00474281;IPI00850941;IPI00858282,Hadhb,"Trifunctional enzyme subunit beta, mitochondrial precursor;similar to Hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), beta subunit;similar to Hydroxyacyl-Coenzyme A dehydrogenase/3-ket",Q99JY0,1.1927,0.006,0.994
1825,IPI00467833,Tpi1;Tpi,"Triosephosphate isomerase",P17751,1.9602,0.0011,0.9989
1387,IPI00314041;IPI00831583,Vil1;Vil,Villin-1,Q62468;Q149B6;Q8CEJ4,1.5213,0.0007,0.9993
1980,IPI00673669;IPI00830743;IPI00874715;IPI00314709;IPI00670246,Sfrs5;Hrs,"10 day old male pancreas cDNA, RIKEN full-length enriched library, clone:1810038B01 product:SPLICING FACTOR, ARGININE/SERINE-RICH 5 (SRP40, HRS), full insert sequence;splicing factor, arginine/serine-rich 5;31 kDa protein;Splicing factor, arginine/serine-r",Q9D8S5;Q5U448;Q640L9;O35326,0.4353,0.9927,0.0073
940,IPI00136984;IPI00666161;IPI00850934;IPI00850039;IPI00349458,Rps7,"40S ribosomal protein S7;similar to ribosomal protein S7 isoform 1;similar to ribosomal protein S7",P62082;Q4FZE6,0.5785,0.996,0.004
226,IPI00114641,Slc3a2;Mdu1,"CD98 heavy chain",P10852;Q3TIP1;Q3TN39;Q3U144;Q60849;Q8BTJ9,0.6035,0.9997,0.0003
1339,IPI00308885;IPI00461249;IPI00845678;IPI00830313;IPI00830195;IPI00853695;IPI00749932,Hspd1;Hsp60,"Isoform 1 of 60 kDa heat shock protein, mitochondrial precursor;similar to Heat shock protein 1",P63038-1;P63038,0.696,0.9964,0.0036
1217,IPI00229834;IPI00404856,Copa,"7 days neonate cerebellum cDNA, RIKEN full-length enriched library, clone:A730099C22 product:COATOMER ALPHA SUBUNIT",Q3TAU7;Q63ZW9;Q8BTF0;Q8CIE6;Q8R393;Q9ET41,0.6825,0.9974,0.0026
98,IPI00109656;IPI00120571,Arfgap2;Zfp289;Znf289,"Isoform 2 of GTPase-activating protein ZNF289;Isoform 1 of GTPase-activating protein ZNF289",Q99K28-2;Q99K28;Q99K28-1;Q3UR67,0.2492,0.9965,0.0035
205,IPI00408495;IPI00462199;IPI00113869,Bsg,"Isoform 1 of Basigin precursor;Basigin (Fragment);Isoform 2 of Basigin precursor",P18572-1;P18572;O55107;P18572-2;O55108,0.3392,0.9995,0.0005
640,IPI00128154,Ctsl1;Ctsl,"Cathepsin L1 precursor",P06797;Q3TNC8;Q3TT75;Q3TVJ1;Q3U5U9;Q3UHZ4;Q3UWH6;Q543M3;Q6LAF5;Q9D0C0,0,0.9986,0.0014
784,IPI00132350,Cisd2;Cdgsh2;Noxp70;Zcd2,"Adult male cerebellum cDNA, RIKEN full-length enriched library, clone:1500009M05 product:hypothetical protein, full insert sequence",Q9CQB5;Q9D0Y0,0.6008,0.9906,0.0094
1904,IPI00620180,Zw10,"Centromere/kinetochore protein zw10 homolog",O54692,0.4352,0.9992,0.0008
1620,IPI00356357,Cln6,"NOD-derived CD11c +ve dendritic cells cDNA, RIKEN full-length enriched library, clone:F630030B03 product:ceroid-lipofuscinosis, neuronal 6, full insert sequence",A0PJN2;Q3U466,0.5011,0.996,0.004
954,IPI00378480;IPI00137852;IPI00668982,H2afy,"Isoform 2 of Core histone macro-H2A.1;Isoform 1 of Core histone macro-H2A.1;similar to histone macroH2A1.2",Q9QZQ8-1;Q9QZQ8;Q9QZQ8-2;Q9CTH9,0.5235,0.9947,0.0053
1949,IPI00652934;IPI00136632,H2afy2;H2afy3,"Core histone macro-H2A.2",Q8CCK0;A0JP36;A0PJB8;Q8BP16;Q9CTR1,0.3975,0.9987,0.0013
525,IPI00123744;IPI00752486,Cst3;RP23-250M11.9-002,"Cystatin-C precursor;Cystatin C",P21460;A2APX2;Q3U5K7;Q9EPX9;A2APX3,0.563,0.9974,0.0026
1137,IPI00225390,Cox6b1;Cox6b,"Cytochrome c oxidase subunit VIb isoform 1",P56391,0.5315,0.9999,0.0001
1800,IPI00462461;IPI00606731,Dpp9,"Isoform 1 of Dipeptidyl peptidase 9;Isoform 2 of Dipeptidyl peptidase 9",Q8BVG4-1;Q8BVG4;Q8BVG4-2,0,1,0
1355,IPI00310797,Fgl2;Fiblp,"Fibroleukin precursor",P12804;Q544K3;Q71V31;Q71V87,0.199,0.998,0.002
1932,IPI00626790;IPI00848798;IPI00831244;IPI00830929,Glul;Glns,"Glutamine synthetase",P15105,0.5443,0.9994,0.0006
746,IPI00131577,Hmox1,"Heme oxygenase 1",P14901;Q3U5H8;Q3U5U6,0,0.9988,0.0012
1597,IPI00342766;IPI00649131;IPI00649600;IPI00649004;IPI00649203;IPI00648970;IPI00849525;IPI00851079;IPI00648700,Hp1bp3;RP23-25C1.1-008,"2 days neonate thymus thymic cells cDNA, RIKEN full-length enriched library, clone:E430016E04 product:heterochromatin protein 1, binding protein 3, full insert sequence;Heterochromatin protein 1, binding protein 3;Heterochromatin protein 1, binding protein",A2AM68;Q3B7C1;Q3TEA8;Q3TM38;Q3TU07;Q8BT17;Q8C911;Q8VE06;Q9DBI1;A2AM64;Q61688;Q8C6H2;A2AM65;Q99KR0,0.4454,0.9958,0.0042
1827,IPI00467914;IPI00404590,H1f0;H1fv,"Histone H1.0;Bone marrow stroma cell CRL-2028 SR-4987 cDNA, RIKEN full-length enriched library, clone:G430067B09 product:histone H1.0, full insert sequence",P10922;Q3U4Y0;Q8C1Y3,0.4912,0.9995,0.0005
1238,IPI00230264,H2afx;H2a.x;H2ax;Hist5-2ax,"Histone H2A.x",P27661,0.1534,0.9979,0.0021
1259,IPI00282848;IPI00785343;IPI00230730;IPI00553538;IPI00379693;IPI00659000;IPI00607069;IPI00277753;IPI00551538;IPI00719866;IPI00670109;IPI00831580,H3f3a;H3.3a;H3f3b;H3.3b;Hist1h3b;H3-53;H3.2;H3b;Hist1h3c;H3-143;Hist1h3d;H3-B;Hist1h3e;H3-F;Hist1h3f;H3.2-221;H3f;Hist2h3b;H3.2-616;Hist2h3c1;H3.2-615;Hist2h3ca1;Hist2h3c2;H3.2-614;Hist2h3ca2;Hist1h3a;H3a;Hist1h3g;H3.1-221;H3g;Hist1h3h;H3.1-291;H3h;Hist1h3i;H3.1-I;H3i,"histone cluster 2, H3c1 isoform 2;Histone H3.3;Histone H3.2;Histone H3.1;histone cluster 2, H3c1 isoform 1;similar to H3 histone, family 3B;hypothetical protein isoform 1;similar to histone H3;hypothetical protein isoform 1;hypothetical protein isoform 1",P84244;A2A852;P84228;A1L0U3;A3KMN6;P68433;A1L0V4;Q05A97,0.2416,0.9998,0.0002
1911,IPI00844736;IPI00621789;IPI00623776;IPI00624840;IPI00624933;IPI00621374;IPI00874920;IPI00876005;IPI00407339;IPI00329998,Hist1h4a;Hist1h4b;H4-53;Hist1h4c;H4-12;Hist1h4d;Hist1h4f;Hist1h4h;Hist1h4i;Hist1h4j;Hist1h4k;Hist1h4m;Hist2h4a;Hist2h4;Hist4h4,"12 kDa protein;11 kDa protein;similar to histone H4;12 kDa protein;12 kDa protein;11 kDa protein;11 kDa protein;11 kDa protein;Histone H4;Histone H4",P62806;A0AUM5;A4FUP8;A4QMY0;Q0VDL9;Q5T006;Q61667;Q6B822;Q9D0C9;Q9D6Q8,0.3088,0.9994,0.0006
2009,IPI00757372,Isoc2a;Isoc2,"Isochorismatase domain-containing protein 2A, mitochondrial precursor",P85094,0.3636,0.9981,0.0019
730,IPI00775806;IPI00131063,Mecp2,"Isoform B of Methyl-CpG-binding protein 2;Isoform A of Methyl-CpG-binding protein 2",Q9Z2D6-2;Q9Z2D6;A2AF25;Q9Z2D6-1;A2AF24,0.6014,1,0
1475,IPI00321266;IPI00857897;IPI00652445,Pspc1;Psp1,"Isoform 1 of Paraspeckle component 1;Isoform 2 of Paraspeckle component 1",Q8R326-1;Q8R326;Q8R326-2,0.4767,0.9921,0.0079
244,IPI00115257;IPI00608118;IPI00649508;IPI00649945;IPI00649249,Psip1;Ledgf;RP23-311B24.4-003;RP23-311B24.4-006,"Isoform 1 of PC4 and SFRS1-interacting protein;Isoform 2 of PC4 and SFRS1-interacting protein;PC4 and SFRS1 interacting protein 1;PC4 and SFRS1 interacting protein 1",Q99JF8-1;Q99JF8;A2BI10;Q99JF8-2;A2BI11;A2BI12;Q05CD2;A2BI13,0.7038,0.9908,0.0092
1205,IPI00626385;IPI00421268;IPI00230061;IPI00400214;IPI00625928;IPI00229509;IPI00400215;IPI00421271;IPI00468273;IPI00421267;IPI00400209,Plec1,"534 kDa protein;Isoform PLEC-1 of Plectin-1;Isoform PLEC-0 of Plectin-1;Isoform PLEC-1G of Plectin-1;Isoform PLEC-1B of Plectin-1;Isoform PLEC-1I of Plectin-1;Isoform PLEC-1A of Plectin-1;Isoform PLEC-1F of Plectin-1;Isoform PLEC-1E of Plectin-1;Isoform PL",Q9QXS1-2;Q9QXS1;Q499F9;Q9QXS1-8;Q8C8S5;Q9QXS1-14;Q6S385;Q9QXS1-5;Q6S387;Q9QXS1-16;Q9QXS1-3;Q05CR3;Q9QXS1-13;Q6S393;Q9QXS1-12;Q6S392;Q9QXS1-10;Q6S388;Q9QXS1-15;Q6S390,0.4984,0.9977,0.0023
2049,IPI00849840;IPI00157500;IPI00755245,Pdyn;RP23-358G23.1-001;mCG_9904,"Preprodynorphin;Beta-neoendorphin-dynorphin precursor",O35852;Q3UZW2;O35417,0.3729,0.9998,0.0002
1522,IPI00330523;IPI00858257;IPI00858124,Pcca,"Propionyl-CoA carboxylase alpha chain, mitochondrial precursor",Q91ZA3;Q3UGC8,0.5572,0.9985,0.0015
1318,IPI00283862,Psma1,"Proteasome subunit alpha type-1",Q9R1P4;Q3TS44;Q8BTU5;Q9JHS5,0,0.9942,0.0058
294,IPI00116770,Rab18,"Ras-related protein Rab-18",P35293;Q0PD38;Q8CEH2,0.6882,0.9955,0.0045
455,IPI00121837;IPI00416043,Rnase4,"Ribonuclease 4 precursor;Rnase4 protein",Q9JJH1;Q5UCA9;Q6NXX2;Q8C663;Q8C7E4,0,0.9985,0.0015
1098,IPI00223371;IPI00223372;IPI00127763;IPI00857422;IPI00856660;IPI00857136,Rbm39;Caper;Rnpc2;RP23-107C23.3-019,"RNA binding motif protein 39;NOD-derived CD11c +ve dendritic cells cDNA, RIKEN full-length enriched library, clone:F630113O13 product:RNA-binding region;Isoform 1 of RNA-binding protein 39;RNA-binding region (RNP1, RRM) containing 2;32 kDa protein",Q8VH51-2;Q8VH51;Q5RJI0;Q8VH51-3;Q0VGU9;Q3U313;Q3UXT6;Q3UZ51;Q8VH51-1;A6QRH4,0.6005,0.9932,0.0068
1824,IPI00674241;IPI00653101;IPI00467630;IPI00605000,Sez6l;Aig1l;Kiaa0927;AI843918;mKIAA0927,"Seizure related 6 homolog like;BSRP-B;MKIAA0927 protein",Q499M3;Q6P1D5;Q6PHN6;Q8C420;Q3V651;Q80TP0,0,0.9968,0.0032
1751,IPI00454008;IPI00118059;IPI00608017,Shmt2,"Serine hydroxymethyltransferase",Q3TFD0;Q99K87;Q9CZN7,0.6165,0.9931,0.0069
1472,IPI00320690;IPI00116381,Prpf4b;Cbp143;Prp4h;Prp4k;Prp4m;Prpk,"Serine/threonine-protein kinase PRP4 homolog",Q61136;Q8BPG8;Q8C5G1,0.5614,0.9903,0.0097
89,IPI00109142;IPI00461665;IPI00850487,Esd;Es10;Sid478,"S-formylglutathione hydrolase",Q9R0P3,0.6453,0.9985,0.0015
246,IPI00115454,Sfxn1;F,Sideroflexin-1,Q99JR1;Q8BPC9,0.7595,0.9952,0.0048
789,IPI00132418;IPI00756504,Srp14;RP23-450P9.3-003,"Signal recognition particle 14 kDa protein;Signal recognition particle 14",P16254;A2AUM5;A2AUM6,0.1877,0.991,0.009
1699,IPI00408243;IPI00111877,Ssbp1,"single-stranded DNA binding protein 1 isoform 1;Single-stranded DNA-binding protein, mitochondrial precursor",Q8R2K3;Q9CYR0,0.1837,0.9998,0.0002
146,IPI00111600,Spock2;Ticn2,"Testican-2 precursor",Q9ER58;Q6PAN0;Q80U51,0.4527,0.9985,0.0015
222,IPI00114407;IPI00377350;IPI00122339;IPI00311103;IPI00850366,Thoc4;Aly;Ref1;Refbp1;Refbp2;Ref2,"Isoform 1 of THO complex subunit 4;Isoform 2 of RNA and export factor-binding protein 2;Isoform 2 of THO complex subunit 4;Isoform 1 of RNA and export factor-binding protein 2;RNA and export factor binding protein 2",O08583-1;O08583;Q0VBL5;Q9JJW6-2;Q9JJW6;O08583-2;Q9JJW6-1;Q4KL64,0.6268,0.998,0.002
457,IPI00121887;IPI00224168,Tcea1;Tceat,"Isoform 2 of Transcription elongation factor A protein 1;Isoform 1 of Transcription elongation factor A protein 1",P10711-1;P10711;Q3UPE0;Q3UWX7;Q9JMB4;P10711-2,0.3062,0.9901,0.0099
176,IPI00112822;IPI00230512,Tfam;Hmgts,"Isoform Mitochondrial of Transcription factor A, mitochondrial precursor;Isoform Nuclear of Transcription factor A, mitochondrial precursor",P40630-1;P40630;Q3TSW9;P40630-2;P97907,0.6078,0.9943,0.0057
947,IPI00137409,Tkt,Transketolase,P40142;O55021;Q9Z2L5,0.6128,0.9967,0.0033
1778,IPI00459759,Tmem163,"Transmembrane protein 163",Q8C996,0.4226,0.9961,0.0039
1598,IPI00342908;IPI00470008;IPI00845768;IPI00845572,Kiaa1324,"Isoform 1 of Protein KIAA1324 precursor;100 kDa protein;Isoform 2 of Protein KIAA1324 precursor;Isoform 3 of Protein KIAA1324 precursor",A2AFS3-1;A2AFS3;A2AFS3-2;A2AFS3-3,0.0201,0.9978,0.0022
355,IPI00119115,Atp6v1e1;Atp6e;Atp6e2,"Vacuolar ATP synthase subunit E 1",P50518,0.4746,0.9955,0.0045
1351,IPI00649152;IPI00310240;IPI00554894;IPI00875218,Anxa6;Anx6,"annexin A6 isoform a;annexin A6 isoform b;Annexin A6;76 kDa protein",Q3TUI1;Q3UDK4;Q3UI56;Q8BSS4;Q99JX6;Q3V2Z4;Q8CEX0;P14824,1.4276,0.0031,0.9969
1013,IPI00169666;IPI00858244;IPI00471231;IPI00453957;IPI00330689,Ugt2b34,"UDP glucuronosyltransferase 2 family, polypeptide B34;50 kDa protein",Q3UKM2;Q8K154,1.3651,0.0097,0.9903
873,IPI00224729;IPI00133916,Hnrph1;RP23-121P11.1-006;Hnrnph1;Hnrph,"2 days neonate thymus thymic cells cDNA, RIKEN full-length enriched library, clone:E430005G16 product:heterogeneous nuclear ribonucleoprotein H1, full insert sequence;Heterogeneous nuclear ribonucleoprotein H",Q8C2Q7;O35737;Q3TNG9;Q811L7,2.0177,0.0008,0.9992
584,IPI00125901;IPI00751092,Rps13,"40S ribosomal protein S13;similar to Rps13 protein",P62301;Q5BLJ7;Q921R2,1.3929,0.0006,0.9994
1545,IPI00331345;IPI00473521;IPI00679159,Rps3a,"40S ribosomal protein S3a;similar to ribosomal protein S3a;similar to ribosomal protein S3a",P97351;Q3U5P8;Q3UAC2;Q3UJU5;Q564F3;Q9D1S3,1.3484,0,1
1533,IPI00331092;IPI00752798;IPI00471047;IPI00116049,Rps4x;Rps4;Rps4y2;RP23-251M14.2-001,"40S ribosomal protein S4, X isoform;predicted gene, EG668668;Ribosomal protein S4, Y-linked 2",P62702;Q3UXQ6;Q545F8;Q545X8;Q80ZV1,1.4613,0.0003,0.9997
1399,IPI00314950;IPI00626366;IPI00626504;IPI00752782;IPI00130830,Rplp0;Arbp,"60S acidic ribosomal protein P0;similar to Acidic ribosomal phosphoprotein P0;similar to Acidic ribosomal phosphoprotein P0;16 kDa protein",P14869;Q5FWB6;Q5M8R8,1.8316,0.0004,0.9996
1791,IPI00461456;IPI00874935;IPI00754976;IPI00849847;IPI00758298;IPI00752985;IPI00876212;IPI00752639;IPI00848364;IPI00876172;IPI00756014;IPI00850004;IPI00849834;IPI00345911;IPI00379638;IPI00379639;IPI00754636,Rpl23a,"60S ribosomal protein L23a;similar to ribosomal protein L23a;similar to ribosomal protein L23a;similar to ribosomal protein L23a;similar to ribosomal protein L23a;similar to ribosomal protein L23a;17 kDa protein;similar to ribosomal protein L23a;similar to",P62751;Q4V9X9;Q5M9M5;Q91YK6,1.4469,0.0072,0.9928
1148,IPI00226218;IPI00755262;IPI00608101;IPI00854007;IPI00461838;IPI00466793;IPI00407327,Mettl7a1;Aam-B;Mettl7a;UbiE1;Mettl7a2;Higd1c;LOC554292;UbiE-YGHL1(HIG1-4);UbiE2-Hig1-4;Ubie;UbiE2;UbiE3,"17 days embryo head cDNA, RIKEN full-length enriched library, clone:3300001H21 product:hypothetical SAM (and some other nucleotide) binding motif containing protein, full insert sequence;UbiE1;UbiE-YGHL1 fusion protein;UbiE2;UbiE-YGHL1 fusion protein;UbiE3",Q5K4Q9;Q8C6B0;Q1XG79;Q76I26;Q76I24;Q5I0W6;Q9D7S5,1.6499,0.0016,0.9984
1922,IPI00624726;IPI00474564;IPI00554955;IPI00136334;IPI00230687;IPI00788497;IPI00230688,Abcc8,"ATP-binding cassette, sub-family C (CFTR/MRP), member 8",Q6PGE2;Q8BNE2;Q9Z2P1;Q9Z2P2,1.4412,0.0013,0.9987
836,IPI00133218,Arl8b;Arl10c;Gie1,"ADP-ribosylation factor-like protein 8B",Q9CQW2;Q9DAB3,1.5022,0.0029,0.9971
470,IPI00122346;IPI00875346,Ssr4,"10 day old male pancreas cDNA, RIKEN full-length enriched library, clone:1810061C01 product:signal sequence receptor, delta, full insert sequence;Translocon-associated protein subunit delta precursor",Q9D6F7;Q9D8L3;Q9DC94;Q62186;Q3TVJ8,1.5955,0.0012,0.9988
